setting,rule,n_test,n_entities,dimension,radius,joint_coverage,entity_coverage,mc_lower,mc_upper,assumption_valid
nominal,joint,2000,11,2,3.27706114641502,0.951,0.9955,0.940644363302617,0.959626460049693,True
nominal,marginal,2000,11,2,2.42864619879195,0.544,0.946454545454545,0.522108368298277,0.565722931540973,True
proxy_shift,joint,2000,11,2,3.27706114641502,0.348,0.909227272727273,0.327433412647331,0.36914936972617,False
proxy_shift,marginal,2000,11,2,2.42864619879195,0.0275,0.729363636363636,0.021188498165677,0.035623111515107,False
