study_id,effect,se,apr,target_women,market,promotion,collateral,loan_share,individual_rand,source,effect_source,reference_source,status,variance_status,design_vector_status
angelucci_mexico,0.011778332055366025,4.003773128689117,100.0,1.0,2.0,1.0,0.0,6.0,0.0,"Compartamos-AEJ-tables-2-8.do:3,5,31-33; Meager import:126-136,741-753","Treatment coefficient and cluster-robust SE reconstructed from official AEJ specification; agrees with rounded Meager summary 0 (SE 39)","authorized OpenICPSR V1; nested analysis_data_AEJ_pub.dta",compatible_pilot,cluster_robust_reconstructed_238_clusters_16005_obs,exploratory_author-coded_coordinates_source_located
banerjee_india_endline1,15.341039717051054,13.607588901565059,24.0,1.0,3.0,0.0,0.0,22.0,0.0,"data/import_organise_data_v7.R:415-474,741-753","reported_coefficients_profit[4], reported_coefficients_profit_sds[4]","authorized OpenICPSR V1 package; endline 1 design and do-files",compatible_pilot,reported_study_se_clustered_by_areaid_source_pending,exploratory_author-coded_coordinates_source_located
crepon_morocco,17.892200606817777,10.797786899875067,13.5,0.0,0.0,1.0,0.0,21.0,0.0,"data/import_organise_data_v7.R:489-560,741-753","reported_coefficients_profit[5], reported_coefficients_profit_sds[5]","authorized OpenICPSR V1 package; endline outcome construction and pair-clustered do-file",compatible_pilot,reported_study_se_pair_clustered_source_pending,exploratory_author-coded_coordinates_source_located
