source,country,rep,n_train,estimate,error,train_sources
armstrong,USA,15,37,0.17390949182280357,0.040613972821101935,psualtoona|yale|westernkentucky|metu|mturk|loyola|aus2|munichon|kwazulu|tanzania|vcu|umich|tanzaniaon|carleton|ulatina|jos|uned|tilburgcaf|badaniaon|mcdanielonline|queensland2|salford|kenyon|seznam|jmu|krakowon|tilburg|help|osnabruck|louvain|pascal|munich|swps|csunorthonline|padua|moralsense|hawaiion
armstrong,USA,16,37,0.16400246295988646,0.030706943958184824,northumbria|loyola|tanzaniaon|psualtoona|cas|tamucc|umich|swps|seznamon|fmkbelgrade|hawaiion|salford|queensland2|munichon|ulatina|westernkentucky|carleton|aus2|krakowon|brookcuny|mcdanielonline|jos|simmons|csunorthonline|munich|kwazulu|jmu|tanzania|metu|grazvienna|uned|rotterdam|padua|georgefox|unswonline|pascal|kenyon
armstrong,USA,17,37,0.17962859575183687,0.04633307675013523,csunorthonline|tilburg|queensland2|ouhk|vcu|radboud|westernkentucky|loyola|tilburgcaf|seznam|mcdanielonline|osnabruck|bogota|cas|tamucc|vuw|metu|jos|pascal|louvain|yale|munich|aus2|grazvienna|krakowon|seznamon|munichon|northumbria|ulatina|padua|tamu|georgefox|mturk|help|lse|brookcuny|jmu
armstrong,USA,18,37,0.16950084535590682,0.036205326354205175,grazvienna|loyola|simmons|psualtoona|cas|kwazulu|osnabruck|carleton|salford|westernkentucky|seznam|metu|queensland2|moralsense|munichon|mturk|puc|northumbria|help|tanzaniaon|brookcuny|fmkbelgrade|aus2|jos|louvain|jmu|radboud|ouhk|padua|lse|ritonline|umich|tamucc|csunorthonline|tamu|vcu|pascal
armstrong,USA,19,37,0.16716309386260872,0.03386757486090708,ritonline|padua|lse|jos|seznamon|vcu|jmu|radboud|queensland2|northumbria|aus2|unswonline|carleton|tanzania|hawaiion|georgefox|csunorthonline|yale|puc|tamu|loyola|help|ulatina|vuw|kenyon|munich|louvain|fmkbelgrade|umich|munichon|ouhk|pascal|osnabruck|rotterdam|westernkentucky|tilburg|swps
armstrong,USA,20,37,0.16876194535295766,0.03546642635125602,georgefox|tanzania|metu|bogota|brookcuny|umich|salford|cas|louvain|moralsense|ulatina|uned|fmkbelgrade|hawaiion|munich|westernkentucky|tamu|queensland2|pascal|yale|tilburg|puc|vcu|tilburgcaf|radboud|psualtoona|padua|rotterdam|lse|badaniaon|munichon|kenyon|mcdanielonline|aus2|swps|seznam|help
armstrong,USA,21,37,0.18300665392406093,0.04971113492235929,pascal|simmons|hawaiion|jos|louvain|jmu|tilburg|georgefox|fmkbelgrade|loyola|seznam|carleton|badaniaon|ulatina|help|aus2|padua|kwazulu|puc|ouhk|mcdanielonline|psualtoona|grazvienna|tanzania|vcu|seznamon|tilburgcaf|unswonline|krakowon|brookcuny|swps|mturk|csunorthonline|westernkentucky|radboud|uned|northumbria
armstrong,USA,22,37,0.1737486489151892,0.04045312991348757,yale|cas|vcu|psualtoona|grazvienna|jos|westernkentucky|queensland2|pascal|aus2|carleton|simmons|padua|kwazulu|tamu|help|krakowon|tilburg|puc|brookcuny|georgefox|northumbria|rotterdam|jmu|mcdanielonline|osnabruck|swps|munichon|tanzaniaon|kenyon|moralsense|tamucc|ouhk|unswonline|uned|radboud|fmkbelgrade
armstrong,USA,23,37,0.17607536925042447,0.04277985024872283,brookcuny|lse|tanzaniaon|westernkentucky|munich|uned|tamucc|badaniaon|yale|northumbria|cas|tilburg|kwazulu|aus2|queensland2|tamu|rotterdam|georgefox|kenyon|swps|moralsense|umich|bogota|mcdanielonline|vcu|hawaiion|salford|unswonline|seznam|seznamon|tilburgcaf|fmkbelgrade|ouhk|pascal|help|osnabruck|munichon
armstrong,USA,24,37,0.16317082055975796,0.029875301558056316,jos|krakowon|umich|ulatina|metu|tamucc|westernkentucky|lse|puc|seznam|radboud|vuw|pascal|tanzaniaon|padua|simmons|cas|tanzania|fmkbelgrade|yale|carleton|ouhk|grazvienna|munich|northumbria|kwazulu|bogota|seznamon|swps|jmu|georgefox|tamu|munichon|moralsense|unswonline|louvain|badaniaon
armstrong,USA,25,37,0.16721480995171165,0.033919290950010006,ritonline|mcdanielonline|kenyon|ulatina|louvain|fmkbelgrade|swps|grazvienna|northumbria|tilburg|vuw|salford|loyola|bogota|westernkentucky|help|tanzania|badaniaon|carleton|kwazulu|tilburgcaf|ouhk|seznamon|queensland2|seznam|metu|aus2|tamu|munichon|osnabruck|uned|hawaiion|georgefox|unswonline|cas|pascal|brookcuny
armstrong,USA,26,37,0.17540645319471593,0.04211093419301429,uned|moralsense|georgefox|swps|psualtoona|tamu|puc|tanzania|help|pascal|padua|loyola|tilburgcaf|tilburg|westernkentucky|jmu|jos|ritonline|aus2|radboud|salford|lse|rotterdam|unswonline|fmkbelgrade|badaniaon|vuw|cas|mcdanielonline|vcu|grazvienna|munichon|carleton|northumbria|bogota|brookcuny|yale
