protocol,source,country,method,n_train,estimate,radius,width,reference,error,included,max_delete_source_change,train_sources
LOSO,badaniaon,Poland,fixed,56,0.1732295613456712,0.30990641281493375,0.6198128256298675,0.08101851851851855,0.09221104282715264,1.0,0.0034419688739620313,armstrong|aus2|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,badaniaon,Poland,random,56,0.17342580008432315,0.31772092283114794,0.6354418456622959,0.08101851851851855,0.0924072815658046,1.0,0.00353252181728983,armstrong|aus2|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,badaniaon,Poland,unweighted,56,0.17975793551420005,,,0.08101851851851855,0.0987394169956815,,0.005363669780967695,armstrong|aus2|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,badaniaon,Poland,median,56,0.15848712055704728,,,0.08101851851851855,0.07746860203852873,,0.00222716515723842,armstrong|aus2|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,badaniaon,Poland,trimmed,56,0.18079310473933163,,,0.08101851851851855,0.09977458622081309,,0.0027961578737755732,armstrong|aus2|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,bogota,Colombia,fixed,56,0.17211747184055248,0.19582682777101995,0.3916536555420399,0.22901353965183757,0.05689606781128509,1.0,0.0035418597022665033,armstrong|aus2|badaniaon|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,bogota,Colombia,random,56,0.17228757294342184,0.20143610881750235,0.4028722176350047,0.22901353965183757,0.05672596670841573,1.0,0.0036397727161976423,armstrong|aus2|badaniaon|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,bogota,Colombia,unweighted,56,0.1771151672796765,,,0.22901353965183757,0.05189837237216108,,0.005315619449430903,armstrong|aus2|badaniaon|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,bogota,Colombia,median,56,0.15545561259132878,,,0.22901353965183757,0.07355792706050879,,0.0008043428084800741,armstrong|aus2|badaniaon|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
LOSO,bogota,Colombia,trimmed,56,0.17757582167121602,,,0.22901353965183757,0.05143771798062155,,0.0028676530530670485,armstrong|aus2|badaniaon|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale
