ambiguity_radius_Ld,inverse_information_noise,empirical_worst_case_mae,mc_standard_error,max_rate_reference,risk_to_max_rate_ratio,dominant_regime,replications,seed
0.01,0.01,0.01171026851942419,3.984925554420382e-05,0.01,1.171026851942419,mechanism ambiguity,40000,2026091603
0.011937766417144363,0.01,0.013116750889021585,4.220906017314058e-05,0.011937766417144363,1.0987608930079273,mechanism ambiguity,40000,2026091603
0.014251026703029978,0.01,0.014988671386152884,4.455855049466507e-05,0.014251026703029978,1.0517608098345694,mechanism ambiguity,40000,2026091603
0.017012542798525893,0.01,0.017423992127893174,4.664702734780585e-05,0.017012542798525893,1.0241850577094762,mechanism ambiguity,40000,2026091603
0.020309176209047358,0.01,0.02051138830989078,4.827379643512389e-05,0.020309176209047358,1.0099566865126386,mechanism ambiguity,40000,2026091603
0.024244620170823284,0.01,0.024338800213407858,4.929655079497359e-05,0.024244620170823284,1.0038845748838712,mechanism ambiguity,40000,2026091603
0.028942661247167517,0.01,0.028994941467688756,4.9781003577496755e-05,0.028942661247167517,1.001806337712858,mechanism ambiguity,40000,2026091603
0.0345510729459222,0.01,0.03459245213691207,4.993482260229218e-05,0.0345510729459222,1.0011976239075018,mechanism ambiguity,40000,2026091603
0.04124626382901352,0.01,0.04128599208141739,4.9963406732036386e-05,0.04124626382901352,1.0009631963895822,mechanism ambiguity,40000,2026091603
0.04923882631706739,0.01,0.04927855456947126,4.9963406732036386e-05,0.04923882631706739,1.0008068480785477,mechanism ambiguity,40000,2026091603
0.05878016072274912,0.01,0.058819888975152994,4.9963406732036386e-05,0.05878016072274912,1.0006758785943315,mechanism ambiguity,40000,2026091603
0.07017038286703829,0.01,0.07021011111944216,4.9963406732036386e-05,0.07017038286703829,1.0005661683858722,mechanism ambiguity,40000,2026091603
0.0837677640068292,0.01,0.08380749225923306,4.9963406732036386e-05,0.0837677640068292,1.0004742665973587,mechanism ambiguity,40000,2026091603
0.1,0.01,0.10003972825240387,4.9963406732036386e-05,0.1,1.0003972825240386,mechanism ambiguity,40000,2026091603
0.1193776641714437,0.01,0.11941739242384758,4.9963406732036386e-05,0.1193776641714437,1.0003327946871772,mechanism ambiguity,40000,2026091603
0.14251026703029984,0.01,0.1425499952827037,4.9963406732036386e-05,0.14251026703029984,1.0002787746681818,mechanism ambiguity,40000,2026091603
0.17012542798525893,0.01,0.1701651562376628,4.9963406732036386e-05,0.17012542798525893,1.0002335233061532,mechanism ambiguity,40000,2026091603
0.20309176209047358,0.01,0.20313149034287745,4.9963406732036386e-05,0.20309176209047358,1.0001956172519995,mechanism ambiguity,40000,2026091603
0.24244620170823283,0.01,0.24248592996063667,4.9963406732036386e-05,0.24244620170823283,1.0001638641980115,mechanism ambiguity,40000,2026091603
0.28942661247167517,0.01,0.28946634072407906,4.9963406732036386e-05,0.28942661247167517,1.000137265374682,mechanism ambiguity,40000,2026091603
0.345510729459222,0.01,0.34555045771162585,4.9963406732036386e-05,0.345510729459222,1.0001149841351267,mechanism ambiguity,40000,2026091603
0.41246263829013524,0.01,0.41250236654253913,4.9963406732036386e-05,0.41246263829013524,1.0000963196389583,mechanism ambiguity,40000,2026091603
0.49238826317067413,0.01,0.49242799142307797,4.9963406732036386e-05,0.49238826317067413,1.0000806848078547,mechanism ambiguity,40000,2026091603
0.5878016072274915,0.01,0.5878413354798954,4.9963406732036386e-05,0.5878016072274915,1.0000675878594332,mechanism ambiguity,40000,2026091603
0.701703828670383,0.01,0.7017435569227868,4.9963406732036386e-05,0.701703828670383,1.0000566168385872,mechanism ambiguity,40000,2026091603
0.837677640068292,0.01,0.8377173683206959,4.9963406732036386e-05,0.837677640068292,1.000047426659736,mechanism ambiguity,40000,2026091603
1.0,0.01,1.0000397282524038,4.9963406732036386e-05,1.0,1.0000397282524038,mechanism ambiguity,40000,2026091603
0.01,0.011937766417144363,0.012729080496965035,4.506148906931439e-05,0.011937766417144363,1.0662866110936993,sampling noise,40000,2026091603
0.011937766417144363,0.011937766417144363,0.013979445026692492,4.757111045838002e-05,0.011937766417144363,1.171026851942419,mechanism ambiguity,40000,2026091603
0.014251026703029978,0.011937766417144363,0.015658470826501035,5.0388190103414326e-05,0.014251026703029978,1.0987608930079271,mechanism ambiguity,40000,2026091603
0.017012542798525893,0.011937766417144363,0.017893125791122864,5.3192956769184416e-05,0.017012542798525893,1.0517608098345694,mechanism ambiguity,40000,2026091603
0.020309176209047358,0.011937766417144363,0.020800354807695088,5.5686131653225134e-05,0.020309176209047358,1.0241850577094762,mechanism ambiguity,40000,2026091603
0.024244620170823284,0.011937766417144363,0.024486016253482172,5.762813059112852e-05,0.024244620170823284,1.0099566865126388,mechanism ambiguity,40000,2026091603
0.028942661247167517,0.011937766417144363,0.029055091182120657,5.88490708561287e-05,0.028942661247167517,1.0038845748838712,mechanism ambiguity,40000,2026091603
0.0345510729459222,0.011937766417144363,0.03461348385200412,5.9427399271918423e-05,0.0345510729459222,1.0018063377128579,mechanism ambiguity,40000,2026091603
0.04124626382901352,0.011937766417144363,0.04129566134067027,5.961102483077049e-05,0.04124626382901352,1.0011976239075016,mechanism ambiguity,40000,2026091603
0.04923882631706739,0.011937766417144363,0.049286252976803266,5.964514789718286e-05,0.04923882631706739,1.0009631963895824,mechanism ambiguity,40000,2026091603
0.05878016072274912,0.011937766417144363,0.058827587382485,5.964514789718286e-05,0.05878016072274912,1.0008068480785477,mechanism ambiguity,40000,2026091603
0.07017038286703829,0.011937766417144363,0.07021780952677416,5.964514789718286e-05,0.07017038286703829,1.0006758785943313,mechanism ambiguity,40000,2026091603
0.0837677640068292,0.011937766417144363,0.08381519066656506,5.964514789718286e-05,0.0837677640068292,1.0005661683858722,mechanism ambiguity,40000,2026091603
0.1,0.011937766417144363,0.10004742665973587,5.964514789718286e-05,0.1,1.0004742665973587,mechanism ambiguity,40000,2026091603
0.1193776641714437,0.011937766417144363,0.11942509083117957,5.964514789718286e-05,0.1193776641714437,1.0003972825240386,mechanism ambiguity,40000,2026091603
0.14251026703029984,0.011937766417144363,0.1425576936900357,5.964514789718286e-05,0.14251026703029984,1.000332794687177,mechanism ambiguity,40000,2026091603
0.17012542798525893,0.011937766417144363,0.17017285464499476,5.964514789718286e-05,0.17012542798525893,1.0002787746681816,mechanism ambiguity,40000,2026091603
0.20309176209047358,0.011937766417144363,0.20313918875020945,5.964514789718286e-05,0.20309176209047358,1.0002335233061532,mechanism ambiguity,40000,2026091603
0.24244620170823283,0.011937766417144363,0.24249362836796873,5.964514789718286e-05,0.24244620170823283,1.0001956172519995,mechanism ambiguity,40000,2026091603
0.28942661247167517,0.011937766417144363,0.28947403913141107,5.964514789718286e-05,0.28942661247167517,1.0001638641980117,mechanism ambiguity,40000,2026091603
