archive_size_K,pointwise_coverage,pointwise_mc95_low,pointwise_mc95_high,pointwise_exact_coverage,simultaneous_coverage,simultaneous_mc95_low,simultaneous_mc95_high,simultaneous_exact_coverage,pointwise_critical_value,bonferroni_critical_value,replications,seed
1,0.95166,0.94974505632262,0.9535055476773793,0.95,0.95166,0.94974505632262,0.9535055476773793,0.95,1.959963984540054,1.959963984540054,50000,2026091602
2,0.90152,0.8988773630468025,0.9041009447911279,0.9025,0.95044,0.9485028011569072,0.952307990291881,0.9506250000000002,1.959963984540054,2.241402727604947,50000,2026091602
4,0.8176,0.8141907421976174,0.8209604596586456,0.8145062499999999,0.95202,0.9501116860187707,0.9538588626684711,0.9509297119140627,1.959963984540054,2.497705474412374,50000,2026091602
8,0.65996,0.65579557010098,0.6640998525971554,0.6634204312890623,0.95012,0.9481770169812008,0.9519938236344828,0.9510801844041311,1.959963984540054,2.7343687865331767,50000,2026091602
16,0.43974,0.4353941266293225,0.44409513211167745,0.44012666865176536,0.9506,0.9486657014581797,0.9524650654071608,0.9511549574306343,1.959963984540054,2.955166847497834,50000,2026091602
32,0.19528,0.19182878775831433,0.1987780314178806,0.19371148445850087,0.951,0.9490729763700042,0.952857729036717,0.9511922290775183,1.959963984540054,3.1628179656213016,50000,2026091602
64,0.03868,0.03702492489912277,0.04040595532653437,0.03752413921111602,0.95094,0.9490118829224641,0.95279883170305,0.9512108363005606,1.959963984540054,3.359353717934327,50000,2026091602
128,0.00158,0.0012680687046281339,0.0019685118079705685,0.001408061023535215,0.9526,0.9507024284808754,0.9544280310913684,0.9512201327764257,1.959963984540054,3.5463378873635376,50000,2026091602
