scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.09816440256,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,1,600,,,0,0,0,1,96,0.402634179049,0.647981804168,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,2,600,,,0,0,0,1,192,0.390948572085,0.608028344435,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,3,600,,,0,0,0,1,288,0.380157437772,0.579731094038,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,1,600,,,0,0,0,1,96,0.077686240388,0.647981804168,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,2,600,,,0,0,0,1,192,0.077686240388,0.608028344435,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,3,600,,,0,0,0,1,288,0.077686240388,0.579731094038,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,1,600,,,0,0,0,1,96,0.077686240388,0.647981804168,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,2,600,,,0,0,0,1,192,0.077686240388,0.608028344435,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,3,600,,,0,0,0,1,288,0.077686240388,0.579731094038,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,1,600,,,0,0,0,1,96,0.0756585833481,0.647981804168,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,2,600,,,0,0,0,1,192,0.0680836548138,0.608028344435,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,3,600,,,0,0,0,1,288,0.0605785279889,0.579731094038,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,1,600,,,0,0,0,1,96,0.0756585833481,0.647981804168,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,2,600,,,0,0,0,1,192,0.0680836548138,0.608028344435,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,3,600,,,0,0,0,1,288,0.0605785279889,0.579731094038,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,1,600,,,0,0,0,1,96,0.077686240388,0.647981804168,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,2,600,,,0,0,0,1,192,0.077686240388,0.608028344435,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,3,600,,,0,0,0,1,288,0.077686240388,0.579731094038,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,1,600,,,0,0,0,1,96,0.077686240388,0.647981804168,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,2,600,,,0,0,0,1,192,0.077686240388,0.608028344435,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,3,600,,,0,0,0,1,288,0.077686240388,0.579731094038,1
bridgeable,nearest,rinf,optimized__minimum,0.2,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,nearest,rinf,optimized__minimum,0.2,1,600,,,0,0,0,1,96,0.0756585833481,0.647981804168,1
bridgeable,nearest,rinf,optimized__minimum,0.2,2,600,,,0,0,0,1,192,0.0680836548138,0.608028344435,1
bridgeable,nearest,rinf,optimized__minimum,0.2,3,600,,,0,0,0,1,288,0.0605785279889,0.579731094038,1
bridgeable,nearest,rinf,optimized__minimum,0.3,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,nearest,rinf,optimized__minimum,0.3,1,600,,,0,0,0,1,96,0.0756585833481,0.647981804168,1
bridgeable,nearest,rinf,optimized__minimum,0.3,2,600,,,0,0,0,1,192,0.0680836548138,0.608028344435,1
bridgeable,nearest,rinf,optimized__minimum,0.3,3,600,,,0,0,0,1,288,0.0605785279889,0.579731094038,1
bridgeable,nearest,rinf,uniform__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.09816440256,1
bridgeable,nearest,rinf,uniform__minimum,0.2,1,600,,,0,0,0,1,96,0.332852302617,0.647981804168,1
bridgeable,nearest,rinf,uniform__minimum,0.2,2,600,,,0,0,0,1,192,0.27566737435,0.608028344435,1
bridgeable,nearest,rinf,uniform__minimum,0.2,3,600,,,0,0,0,1,288,0.236124991163,0.579731094038,1
bridgeable,nearest,rinf,uniform__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.09816440256,1
bridgeable,nearest,rinf,uniform__minimum,0.3,1,600,,,0,0,0,1,96,0.332852302617,0.647981804168,1
bridgeable,nearest,rinf,uniform__minimum,0.3,2,600,,,0,0,0,1,192,0.27566737435,0.608028344435,1
bridgeable,nearest,rinf,uniform__minimum,0.3,3,600,,,0,0,0,1,288,0.236124991163,0.579731094038,1
bridgeable,random,r2,inverse_variance__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.11193588032,1
bridgeable,random,r2,inverse_variance__minimum,0.2,1,600,,,0,0,0,1,96,0.3954813706,0.740687283951,1
bridgeable,random,r2,inverse_variance__minimum,0.2,2,600,,,0,0,0,1,192,0.378242608114,0.651767251027,1
bridgeable,random,r2,inverse_variance__minimum,0.2,3,600,,,0,0,0,1,288,0.36169272879,0.614096842304,1
bridgeable,random,r2,inverse_variance__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.11193588032,1
bridgeable,random,r2,inverse_variance__minimum,0.3,1,600,,,0,0,0,1,96,0.3954813706,0.740687283951,1
bridgeable,random,r2,inverse_variance__minimum,0.3,2,600,,,0,0,0,1,192,0.378242608114,0.651767251027,1
bridgeable,random,r2,inverse_variance__minimum,0.3,3,600,,,0,0,0,1,288,0.36169272879,0.614096842304,1
bridgeable,random,r2,nearest_source__minimum,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.11193588032,1
bridgeable,random,r2,nearest_source__minimum,0.2,1,600,,,0,0,0,1,96,0.231961396552,0.740687283951,1
bridgeable,random,r2,nearest_source__minimum,0.2,2,600,,,0,0,0,1,192,0.163573063867,0.651767251027,1
bridgeable,random,r2,nearest_source__minimum,0.2,3,600,,,0,0,0,1,288,0.130702559723,0.614096842304,1
bridgeable,random,r2,nearest_source__minimum,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.11193588032,1
bridgeable,random,r2,nearest_source__minimum,0.3,1,600,,,0,0,0,1,96,0.231961396552,0.740687283951,1
bridgeable,random,r2,nearest_source__minimum,0.3,2,600,,,0,0,0,1,192,0.163573063867,0.651767251027,1
bridgeable,random,r2,nearest_source__minimum,0.3,3,600,,,0,0,0,1,288,0.130702559723,0.614096842304,1
bridgeable,random,r2,optimized__barycentric,0.2,0,600,,,0,0,0,1,0,0.341235133364,1.11193588032,1
bridgeable,random,r2,optimized__barycentric,0.2,1,600,0.0353205389487,0,42,0.07,0,1,96,0.0879657162191,0.725045052344,1
bridgeable,random,r2,optimized__barycentric,0.2,2,600,0.0341748940491,0,124,0.206666666667,0,1,185.28,0.0410516655261,0.618158911199,1
bridgeable,random,r2,optimized__barycentric,0.2,3,600,0.0330170958913,0,231,0.385,0,1,261.44,0.0340779618915,0.541384116124,1
bridgeable,random,r2,optimized__barycentric,0.3,0,600,,,0,0,0,1,0,0.341235133364,1.11193588032,1
bridgeable,random,r2,optimized__barycentric,0.3,1,600,0.0420571152194,0,255,0.425,0,1,96,0.0879657162191,0.652569334322,1
bridgeable,random,r2,optimized__barycentric,0.3,2,600,0.040183544224,0,547,0.911666666667,0,1,151.2,0.0430560316238,0.515062146361,1
bridgeable,random,r2,optimized__barycentric,0.3,3,600,0.0399177392323,0,600,1,0,1,159.68,0.0399177392323,0.495966073619,1
bridgeable,random,r2,optimized__lipschitz,0.2,0,600,,,0,0,0,1,0,0.336722881291,1.11193588032,1
bridgeable,random,r2,optimized__lipschitz,0.2,1,600,,,0,0,0,1,96,0.247820933924,0.740687283951,1
bridgeable,random,r2,optimized__lipschitz,0.2,2,600,,,0,0,0,1,192,0.173656100922,0.651767251027,1
bridgeable,random,r2,optimized__lipschitz,0.2,3,600,,,0,0,0,1,288,0.121176759446,0.614096842304,1
bridgeable,random,r2,optimized__lipschitz,0.3,0,600,,,0,0,0,1,0,0.336722881291,1.11193588032,1
bridgeable,random,r2,optimized__lipschitz,0.3,1,600,,,0,0,0,1,96,0.247820933924,0.740687283951,1
bridgeable,random,r2,optimized__lipschitz,0.3,2,600,,,0,0,0,1,192,0.173656100922,0.651767251027,1
bridgeable,random,r2,optimized__lipschitz,0.3,3,600,,,0,0,0,1,288,0.121176759446,0.614096842304,1
bridgeable,random,r2,optimized__minimum,0.2,0,600,,,0,0,0,1,0,0.341235910597,1.11193588032,1
bridgeable,random,r2,optimized__minimum,0.2,1,600,0.0353205389487,0,42,0.07,0,1,96,0.0873521259208,0.725045052344,1
bridgeable,random,r2,optimized__minimum,0.2,2,600,0.0341748940491,0,124,0.206666666667,0,1,185.28,0.0410695583679,0.618158911199,1
bridgeable,random,r2,optimized__minimum,0.2,3,600,0.0330170958913,0,231,0.385,0,1,261.44,0.0340779618915,0.541384116124,1
bridgeable,random,r2,optimized__minimum,0.3,0,600,,,0,0,0,1,0,0.341235910597,1.11193588032,1
bridgeable,random,r2,optimized__minimum,0.3,1,600,0.0420571152194,0,255,0.425,0,1,96,0.0873521259208,0.652569334322,1
bridgeable,random,r2,optimized__minimum,0.3,2,600,0.040183544224,0,547,0.911666666667,0,1,151.2,0.0430739244656,0.515062146361,1
bridgeable,random,r2,optimized__minimum,0.3,3,600,0.0399177392323,0,600,1,0,1,159.68,0.0399177392323,0.495966073619,1
bridgeable,random,r2,uniform__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.11193588032,1
bridgeable,random,r2,uniform__minimum,0.2,1,600,,,0,0,0,1,96,0.283736351271,0.740687283951,1
bridgeable,random,r2,uniform__minimum,0.2,2,600,,,0,0,0,1,192,0.200843364299,0.651767251027,1
bridgeable,random,r2,uniform__minimum,0.2,3,600,0.0382029208798,0,8,0.0133333333333,0,1,288,0.140517983084,0.612195366947,1
bridgeable,random,r2,uniform__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.11193588032,1
bridgeable,random,r2,uniform__minimum,0.3,1,600,,,0,0,0,1,96,0.283736351271,0.740687283951,1
bridgeable,random,r2,uniform__minimum,0.3,2,600,0.133727472856,0,28,0.0466666666667,0,1,192,0.200843364299,0.652320127822,1
bridgeable,random,r2,uniform__minimum,0.3,3,600,0.106459575707,0,122,0.203333333333,0,1,283.52,0.142339038159,0.610423359166,1
bridgeable,random,rinf,inverse_variance__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.09816440256,1
bridgeable,random,rinf,inverse_variance__minimum,0.2,1,600,,,0,0,0,1,96,0.3954813706,0.714052708748,1
bridgeable,random,rinf,inverse_variance__minimum,0.2,2,600,,,0,0,0,1,192,0.378242608114,0.624730575583,1
bridgeable,random,rinf,inverse_variance__minimum,0.2,3,600,,,0,0,0,1,288,0.36169272879,0.586973555679,1
bridgeable,random,rinf,inverse_variance__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.09816440256,1
bridgeable,random,rinf,inverse_variance__minimum,0.3,1,600,,,0,0,0,1,96,0.3954813706,0.714052708748,1
bridgeable,random,rinf,inverse_variance__minimum,0.3,2,600,,,0,0,0,1,192,0.378242608114,0.624730575583,1
bridgeable,random,rinf,inverse_variance__minimum,0.3,3,600,,,0,0,0,1,288,0.36169272879,0.586973555679,1
bridgeable,random,rinf,nearest_source__minimum,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,random,rinf,nearest_source__minimum,0.2,1,600,,,0,0,0,1,96,0.231961396552,0.714052708748,1
bridgeable,random,rinf,nearest_source__minimum,0.2,2,600,,,0,0,0,1,192,0.163573063867,0.624730575583,1
bridgeable,random,rinf,nearest_source__minimum,0.2,3,600,,,0,0,0,1,288,0.130702559723,0.586973555679,1
bridgeable,random,rinf,nearest_source__minimum,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,random,rinf,nearest_source__minimum,0.3,1,600,,,0,0,0,1,96,0.231961396552,0.714052708748,1
bridgeable,random,rinf,nearest_source__minimum,0.3,2,600,,,0,0,0,1,192,0.163573063867,0.624730575583,1
bridgeable,random,rinf,nearest_source__minimum,0.3,3,600,,,0,0,0,1,288,0.130702559723,0.586973555679,1
bridgeable,random,rinf,optimized__barycentric,0.2,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,random,rinf,optimized__barycentric,0.2,1,600,,,0,0,0,1,96,0.0887756805312,0.714052708748,1
bridgeable,random,rinf,optimized__barycentric,0.2,2,600,,,0,0,0,1,192,0.0472645427168,0.624730575583,1
bridgeable,random,rinf,optimized__barycentric,0.2,3,600,,,0,0,0,1,288,0.0441462985228,0.586973555679,1
bridgeable,random,rinf,optimized__barycentric,0.3,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,random,rinf,optimized__barycentric,0.3,1,600,0.0355850725253,0,107,0.178333333333,0,1,96,0.0887756805312,0.709554310612,1
bridgeable,random,rinf,optimized__barycentric,0.3,2,600,0.0411784326975,0,162,0.27,0,1,174.88,0.0477874454554,0.632984168973,1
bridgeable,random,rinf,optimized__barycentric,0.3,3,600,0.0403255555046,0,191,0.318333333333,0,1,244.96,0.0446603390178,0.604948321555,1
bridgeable,random,rinf,optimized__lipschitz,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,random,rinf,optimized__lipschitz,0.2,1,600,,,0,0,0,1,96,0.268260205011,0.714052708748,1
bridgeable,random,rinf,optimized__lipschitz,0.2,2,600,,,0,0,0,1,192,0.218706606348,0.624730575583,1
bridgeable,random,rinf,optimized__lipschitz,0.2,3,600,,,0,0,0,1,288,0.178488845196,0.586973555679,1
bridgeable,random,rinf,optimized__lipschitz,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.09816440256,1
bridgeable,random,rinf,optimized__lipschitz,0.3,1,600,,,0,0,0,1,96,0.268260205011,0.714052708748,1
bridgeable,random,rinf,optimized__lipschitz,0.3,2,600,,,0,0,0,1,192,0.218706606348,0.624730575583,1
bridgeable,random,rinf,optimized__lipschitz,0.3,3,600,,,0,0,0,1,288,0.178488845196,0.586973555679,1
bridgeable,random,rinf,optimized__minimum,0.2,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,random,rinf,optimized__minimum,0.2,1,600,,,0,0,0,1,96,0.0887756805312,0.714052708748,1
bridgeable,random,rinf,optimized__minimum,0.2,2,600,,,0,0,0,1,192,0.0472645427168,0.624730575583,1
bridgeable,random,rinf,optimized__minimum,0.2,3,600,,,0,0,0,1,288,0.0441462985228,0.586973555679,1
bridgeable,random,rinf,optimized__minimum,0.3,0,600,,,0,0,0,1,0,0.31638644927,1.09816440256,1
bridgeable,random,rinf,optimized__minimum,0.3,1,600,0.0355850725253,0,107,0.178333333333,0,1,96,0.0887756805312,0.709554310612,1
