surface,scenario,schedule,mode,stage,bar_minus_min,lip_minus_min,bar_tighter,lip_tighter
quadratic,unreachable,nearest,r2,2,0.000696583310266,9.80654180536e-07,0.01,0.99
quadratic,unreachable,nearest,r2,3,0.000839953486212,1.86640310439e-06,0.01,0.99
quadratic,unreachable,nearest,rinf,0,4.4408920985e-18,5.55111512313e-18,0,0
quadratic,unreachable,nearest,rinf,1,8.881784197e-18,1.11022302463e-18,0,0
quadratic,unreachable,nearest,rinf,2,1.11022302463e-17,2.22044604925e-18,0,0
quadratic,unreachable,nearest,rinf,3,2.55351295664e-17,2.22044604925e-18,0,0
quadratic,unreachable,random,r2,0,2.49784419328e-05,9.14165006154e-05,0.435,0.3
quadratic,unreachable,random,r2,1,0.000435873302545,0.000384580652224,0.57,0.29
quadratic,unreachable,random,r2,2,0.000604981792045,0.000286283141757,0.365,0.55
quadratic,unreachable,random,r2,3,0.000821272372518,0.000111487990575,0.18,0.755
quadratic,unreachable,random,rinf,0,4.4408920985e-18,5.55111512313e-18,0,0
quadratic,unreachable,random,rinf,1,1.7763568394e-17,8.51665557475e-07,0.005,0
quadratic,unreachable,random,rinf,2,1.88737914186e-17,1.22215432201e-05,0.015,0
quadratic,unreachable,random,rinf,3,2.55351295664e-17,1.62892861946e-05,0.025,0
sinusoidal,bridgeable,nearest,r2,0,3.88049492998e-07,0.00282539898248,0.97,0.005
sinusoidal,bridgeable,nearest,r2,1,0.000528031076187,0.0173172018942,0.805,0.075
sinusoidal,bridgeable,nearest,r2,2,0.00025747077894,0.0798254067424,0.88,0.12
sinusoidal,bridgeable,nearest,r2,3,0,0.135675112474,1,0
sinusoidal,bridgeable,nearest,rinf,0,0,3.17929403023e-06,0.005,0
sinusoidal,bridgeable,nearest,rinf,1,0,0.0163573118463,0.715,0
sinusoidal,bridgeable,nearest,rinf,2,0,0.118883608833,0.895,0
sinusoidal,bridgeable,nearest,rinf,3,0,0.222794910639,1,0
sinusoidal,bridgeable,random,r2,0,3.88049492998e-07,0.00282539898248,0.97,0.005
sinusoidal,bridgeable,random,r2,1,0.000544804400376,0.224481807575,0.82,0.155
sinusoidal,bridgeable,random,r2,2,0.00010321113696,0.26824249115,0.97,0.03
sinusoidal,bridgeable,random,r2,3,0,0.276986317871,1,0
