surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,nearest,r2,uniform__minimum,0.2,3,200,,,0,0,0,1,288,0.263521790234,0.532806702511,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.36953014098,0.600304215018,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,2,200,,,0,0,0,1,192,0.308274115954,0.558836710476,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,3,200,,,0,0,0,1,288,0.263521790234,0.532806702511,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.448985150463,0.573541060167,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.436334457266,0.532008597239,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.424187853008,0.505978589275,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.448985150463,0.573541060167,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.436334457266,0.532008597239,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.424187853008,0.505978589275,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.0794331533162,0.573541060167,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.0794331533162,0.532008597239,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.0794331533162,0.505978589275,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.0794331533162,0.573541060167,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.0794331533162,0.532008597239,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.0794331533162,0.505978589275,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,1,200,,,0,0,0,1,96,0.0767848659377,0.573541060167,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,2,200,,,0,0,0,1,192,0.0711332930652,0.532008597239,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,3,200,,,0,0,0,1,288,0.0619372697454,0.505978589275,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,1,200,,,0,0,0,1,96,0.0767848659377,0.573541060167,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,2,200,,,0,0,0,1,192,0.0711332930652,0.532008597239,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,3,200,,,0,0,0,1,288,0.0619372697454,0.505978589275,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.0794331533162,0.573541060167,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.0794331533162,0.532008597239,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.0794331533162,0.505978589275,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.0794331533162,0.573541060167,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.0794331533162,0.532008597239,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.0794331533162,0.505978589275,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,1,200,,,0,0,0,1,96,0.0767848659377,0.573541060167,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,2,200,,,0,0,0,1,192,0.0711332930652,0.532008597239,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,3,200,,,0,0,0,1,288,0.0619372697454,0.505978589275,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,1,200,,,0,0,0,1,96,0.0767848659377,0.573541060167,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,2,200,,,0,0,0,1,192,0.0711332930652,0.532008597239,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,3,200,,,0,0,0,1,288,0.0619372697454,0.505978589275,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.36953014098,0.573541060167,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.308274115954,0.532008597239,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,3,200,,,0,0,0,1,288,0.263521790234,0.505978589275,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.36953014098,0.573541060167,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,2,200,,,0,0,0,1,192,0.308274115954,0.532008597239,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,3,200,,,0,0,0,1,288,0.263521790234,0.505978589275,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.440822653908,0.633563190714,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.421853482676,0.545624999259,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.403521638051,0.513830025996,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.440822653908,0.633563190714,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.421853482676,0.545624999259,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.403521638051,0.513830025996,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.06450443808,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.255913914472,0.633563190714,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.174801489032,0.545624999259,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.140448711456,0.513830025996,1
linear,bridgeable,random,r2,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.06450443808,1
linear,bridgeable,random,r2,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.255913914472,0.633563190714,1
