scenario,schedule,mode,tolerance,regime,reference,comparator,metric,difference,lower,upper,n_worlds
bridgeable,nearest,r2,0.3,stopped,optimized__minimum,uniform__minimum,error,-0.189015848818,-0.192538927017,-0.185441074461,600
bridgeable,nearest,r2,0.3,stopped,optimized__minimum,uniform__minimum,width,-0.0929073060272,-0.100230807033,-0.0851319354589,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,released,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,new_n,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,error,-0.319578909783,-0.323437768503,-0.315612156123,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,width,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,released,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,new_n,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,error,-0.0171077123991,-0.022477375821,-0.0112870791848,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,width,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,new_n,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,error,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,width,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,released,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,new_n,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,error,-0.0171077123991,-0.0228358511978,-0.0114606478789,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,width,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,uniform__minimum,released,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,uniform__minimum,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,uniform__minimum,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,uniform__minimum,new_n,0,0,0,600
