target,method,n_train,status,reference_lower,reference_upper,estimate,lower,upper,width,radius,released,point_error,reference_relation
angelucci_mexico,fixed_effect,2,computed,-7.84651236383083,7.84651236383083,16.906494187549463,-1.4346648372805113,35.24765321237943,36.68231804965995,18.341159024829974,False,16.906494187549463,partial_overlap
angelucci_mexico,random_effects,2,not_identified,-7.84651236383083,7.84651236383083,,,,inf,,False,,not_run
angelucci_mexico,design_meta_regression,2,not_identified,-7.84651236383083,7.84651236383083,,,,inf,,False,,not_run
angelucci_mexico,robust_training_range,2,computed,-7.84651236383083,7.84651236383083,16.616620161934414,7.494527353220221,25.738712970648606,18.244185617428386,9.122092808714193,False,16.616620161934414,partial_overlap
angelucci_mexico,atlas_descriptive,2,computed,-7.84651236383083,7.84651236383083,16.534528202322697,-2.257175584283601,35.326231988928996,37.5834075732126,18.7917037866063,False,16.534528202322697,partial_overlap
banerjee_india_endline1,fixed_effect,2,computed,-11.329834530016463,42.01191396411857,2.162219942103922,-25.504273797168302,29.828713681376144,55.332987478544446,27.666493739272223,False,13.178819774947131,partial_overlap
banerjee_india_endline1,random_effects,2,not_identified,-11.329834530016463,42.01191396411857,,,,inf,,False,,not_run
banerjee_india_endline1,design_meta_regression,2,not_identified,-11.329834530016463,42.01191396411857,,,,inf,,False,,not_run
banerjee_india_endline1,robust_training_range,2,computed,-11.329834530016463,42.01191396411857,8.946100303408889,-26.670874247067516,44.5630748538853,71.23394910095281,35.61697455047641,False,6.394939413642165,contains_full
banerjee_india_endline1,atlas_descriptive,2,computed,-11.329834530016463,42.01191396411857,7.684518699231813,-4.1828401955761585,19.551877594039784,23.734717789615942,11.867358894807971,False,7.656521017819241,partial_overlap
crepon_morocco,fixed_effect,2,computed,-3.2714617169373525,39.05586293057291,1.2220330891272626,-21.240056438851664,23.684122617106187,44.92417905595785,22.462089527978925,False,16.670167517690516,partial_overlap
crepon_morocco,random_effects,2,not_identified,-3.2714617169373525,39.05586293057291,,,,inf,,False,,not_run
crepon_morocco,design_meta_regression,2,not_identified,-3.2714617169373525,39.05586293057291,,,,inf,,False,,not_run
crepon_morocco,robust_training_range,2,computed,-3.2714617169373525,39.05586293057291,7.670519858525527,-21.16366232375513,36.50470204080618,57.66836436456131,28.834182182280657,False,10.22168074829225,partial_overlap
crepon_morocco,atlas_descriptive,2,computed,-3.2714617169373525,39.05586293057291,7.077083403604674,-7.667680813569693,21.821847620779042,29.489528434348735,14.744764217174367,False,10.815117203213102,partial_overlap
