target,target_effect_changed,effect_perturbation,target_se_changed,predictions_unchanged,width_unchanged,release_unchanged,max_prediction_change
angelucci_mexico,True,nonzero_sentinel,True,True,True,True,0.0
banerjee_india_endline1,True,sign_flip,True,True,True,True,0.0
