scenario,parameter,level,seed,true,ex_composable,ex_residual,ex_abs_error,atlas_accepted,atlas_abs_error
in_support,none,0.0,2528322995,0.39960298919702597,True,0.004464803560369424,0.09808538803615097,True,0.061313793421523655
in_support,none,0.0,3148077065,-0.38457097606103857,True,0.01941231513001319,0.023539906276234646,False,nan
in_support,none,0.0,2398344350,0.5748421061601093,False,0.10961472537515793,0.16186136739137247,False,nan
in_support,none,0.0,2702706019,0.9220527409058684,True,0.002736212710661235,0.25021048315797223,False,nan
in_support,none,0.0,2801774023,0.4696185094164028,True,0.02959807017119992,0.13262037360951173,False,nan
in_support,none,0.0,57650232,0.3141048869676698,True,0.022047137920582282,0.1345727156475779,True,0.14972776745372274
in_support,none,0.0,2026731378,0.6544195649286629,True,0.0908801148911895,0.12645535633504623,False,nan
in_support,none,0.0,1906215908,-0.002213369508423907,True,0.0948393268278224,0.07370406283608323,False,nan
in_support,none,0.0,3300098069,-0.34916885058733305,True,0.02012332051179801,0.20396866757530097,True,0.25199154360914866
in_support,none,0.0,1221256803,-0.11128153909584873,True,0.0014881903224919686,0.19009310463344584,True,0.2568112399570266
in_support,none,0.0,1939034257,1.0526010749493901,True,0.07878126180930833,0.07628115798050294,False,nan
in_support,none,0.0,3645287908,0.24611966874098992,True,0.023941935157948104,0.06418765290556375,True,0.04663873785902209
in_support,none,0.0,4094013976,-0.4116569427266251,True,0.05515054853608889,0.013884353893599655,True,0.0649771680174358
in_support,none,0.0,2379146117,0.606787090930041,True,0.004050860944207959,0.20771091458366492,False,nan
in_support,none,0.0,1411244774,0.14639974149914325,True,0.0020702130054995,0.23787144038659125,False,nan
in_support,none,0.0,4074677446,-0.27261479034415115,True,8.0456404059619e-07,0.06791815494728604,True,0.04454474051715995
in_support,none,0.0,3549802476,0.7033599727364376,True,0.02221446041568419,0.12712179165510762,False,nan
in_support,none,0.0,675330763,0.1677692863552127,True,0.07166497520518746,0.12464529224572692,True,0.10578403546766608
in_support,none,0.0,2851526706,-0.14982786462159017,True,3.1705157629383567e-07,0.1912094233183463,False,nan
in_support,none,0.0,3942587653,-0.15065207865876046,True,0.0534011164941436,0.10210569567371619,False,nan
in_support,none,0.0,4103451098,-0.6492693233503624,False,0.1638095439734065,0.12951380004405066,False,nan
in_support,none,0.0,1456933696,0.7068240086663954,False,0.151275594357449,0.15573800923653347,False,nan
in_support,none,0.0,2592323081,0.4320488055829451,True,0.02659154683208116,0.2875839353749561,False,nan
in_support,none,0.0,275098874,0.5210008699515408,False,0.14082086098794358,0.3411831111493594,False,nan
in_support,none,0.0,3225735080,1.0846285274731278,True,0.020702701681783297,0.034711551882630864,True,0.028970350445507442
in_support,none,0.0,4240295701,0.1766265539236775,True,0.062126959936088515,0.11293429436747421,False,nan
in_support,none,0.0,384459197,0.33021114596136586,True,0.009166925833665875,0.13450944553823138,False,nan
in_support,none,0.0,2127183786,-0.18442781151767634,False,0.11673740879617235,0.1813598651979889,True,0.19531103884593193
in_support,none,0.0,3684494623,0.6342088264133705,True,0.02282560558900801,0.06933869032176809,True,0.07718389462231767
in_support,none,0.0,1855658181,1.023375057380385,True,0.03330205456263006,0.3083212059742242,False,nan
in_support,none,0.0,2976449571,0.8953729596191788,True,0.057118588509931165,0.07040383036449527,True,0.08316719077902324
in_support,none,0.0,3352018927,0.46855049816667604,False,0.10432103678393033,0.02927797493107287,True,0.06334911942482646
in_support,none,0.0,1985926176,0.5912715776418204,True,8.002804310942029e-09,0.07574617877743572,False,nan
in_support,none,0.0,3576395711,-0.15546004038021932,True,0.07318248559172778,0.11699836831982852,False,nan
in_support,none,0.0,688023752,-0.5704447686177039,True,0.030584294803405902,0.30401407254547475,False,nan
in_support,none,0.0,72884819,0.10337912664961313,True,0.03737329982835804,0.2622320100016342,True,0.21405689319194043
in_support,none,0.0,2895694183,-0.17898616254522667,True,0.029363854371898247,0.17122473537392105,False,nan
in_support,none,0.0,3332070177,0.26326098976403206,True,0.07451173750080793,0.1911537576794241,False,nan
in_support,none,0.0,1084639652,0.39025078081416664,True,0.07377597889394977,0.1436433049022726,False,nan
in_support,none,0.0,2588976466,0.26931308784135943,True,0.0027493790824985173,0.15535578028099967,False,nan
in_support,none,0.0,3256175551,0.04084044724406663,True,3.2366891188987973e-09,0.07397545617668959,True,0.08263725903322874
in_support,none,0.0,2015711821,0.06002992488920031,True,0.021769047758318196,0.10128654006429269,True,0.09605968420826404
in_support,none,0.0,2008649440,0.26755241714741146,True,0.04638843350383253,0.0036264063252610113,False,nan
in_support,none,0.0,2633396833,1.3191142690749855,True,0.008133657576745905,0.20221649204265546,False,nan
in_support,none,0.0,3663931421,1.0222273220064166,True,0.02932375133900311,0.21614778212357533,False,nan
in_support,none,0.0,1464245580,-0.11313851423017349,False,0.14056600351198767,0.17441110748695274,False,nan
in_support,none,0.0,1228501516,0.8841601251562876,False,0.1301821336506195,0.008769900747362613,True,0.04520693290215372
in_support,none,0.0,3688061397,0.12379132916063385,True,0.049510942118655886,0.17498311094917413,False,nan
in_support,none,0.0,2706491661,0.6474817934463784,True,8.657692191256251e-09,0.09269069741723046,True,0.12265789673494443
in_support,none,0.0,473297755,0.6683358706507493,False,0.12032805003520332,0.15515302627658245,True,0.12661857687596012
in_support,none,0.0,2025955284,-0.4750608067689044,True,0.028963673246236665,0.21068928447600122,True,0.19340176825031474
in_support,none,0.0,3444320619,0.7086350640054326,True,0.051081982113842114,0.11364771142942309,False,nan
in_support,none,0.0,4110561171,-0.05790039270334876,True,0.09550670193387549,0.11180460796103767,True,0.19937057158196173
in_support,none,0.0,1106377635,0.20928237150468693,True,0.08107921368389649,0.10757784473335752,True,0.05020259039042374
in_support,none,0.0,3074475909,1.0733518656603742,True,0.06503526191375457,0.16728068265398677,False,nan
in_support,none,0.0,3509046422,0.35974896162424436,True,0.025823076914199716,0.3079300281495798,False,nan
in_support,none,0.0,83889104,0.04638996586102598,True,0.05904916629622529,0.24421060790678742,False,nan
in_support,none,0.0,1840494689,0.3027194226663289,True,0.03684989207306242,0.12275698839918842,False,nan
in_support,none,0.0,4288349585,0.14706809799387804,True,6.067829806432158e-09,0.15581545513684109,False,nan
in_support,none,0.0,3119874795,0.1501969549053912,True,0.09867097208414544,0.1084062506834613,False,nan
in_support,none,0.0,225039833,0.1460882471423531,True,0.08133950573017669,0.23956546169964618,True,0.0891696780687812
in_support,none,0.0,2939890015,0.5068982114795682,True,0.06311777565173915,0.1868441911755237,True,0.23907362527872783
in_support,none,0.0,3800906138,1.1921918465944232,True,0.012897259554720417,0.24968412128313733,False,nan
in_support,none,0.0,2606092923,0.2264739772300541,True,0.02316062665762814,0.08275068339187844,False,nan
in_support,none,0.0,4139995270,0.7711000664907843,True,0.07856629970101228,0.17486754327601517,False,nan
in_support,none,0.0,4115628886,0.21566754301127214,True,0.011300243542760024,0.18071071176074868,False,nan
in_support,none,0.0,3911380519,0.381954854907601,True,0.024348070631115867,0.17626416104514,False,nan
in_support,none,0.0,3489597356,0.039802250061231254,False,0.16011610622435574,0.06999619594104528,False,nan
in_support,none,0.0,2368148678,1.3348002866127264,True,0.020414900588414185,0.20739915407644194,False,nan
in_support,none,0.0,1673468278,-0.30572039391907746,False,0.1281371617252681,0.2721147556236879,True,0.21178645871220492
in_support,none,0.0,2744852276,0.5694667282317647,True,0.04793340761473501,0.08082385558254329,True,0.163511362736172
in_support,none,0.0,3422717244,0.13555496600147643,False,0.1323094382593299,0.052276265667935584,False,nan
in_support,none,0.0,2027386441,0.3107329106324664,True,0.04174372609362007,0.1991899198118514,True,0.26318466195451634
in_support,none,0.0,3555328075,0.3476877343508706,True,2.58189180634102e-09,0.07849820888322956,False,nan
in_support,none,0.0,1640013721,-0.11178855802237936,True,9.047514225091281e-09,0.010041365744304268,True,0.08696052710090829
in_support,none,0.0,2124040037,0.1416990183350293,True,0.05097672483315712,0.1717631908099142,False,nan
in_support,none,0.0,4142695285,0.5704886261861621,True,0.04615684356070839,0.13340778877350856,False,nan
in_support,none,0.0,2610981337,0.7403098862512928,False,0.11176720142612145,0.12175181262855028,True,0.07528552989918713
in_support,none,0.0,207125272,-0.12090062005672988,True,6.989949394918593e-05,0.00733846311278763,True,0.0024414980819284504
in_support,none,0.0,213275598,0.9212616841716142,True,0.08490615518354978,0.24909725820535045,False,nan
in_support,none,0.0,3464491926,-0.45853738179236436,True,0.054900327553619774,0.27738330547935475,False,nan
in_support,none,0.0,174197827,0.6575720907895273,True,0.014888929971607255,0.13495867325904232,True,0.06920122488232772
in_support,none,0.0,660392554,-0.12787553136123928,True,0.02167292579594582,0.06286756019940651,True,0.009640133607558582
in_support,none,0.0,2503172942,-0.09817792599831726,True,0.017471664562920444,0.08521046069240648,False,nan
in_support,none,0.0,1539873752,0.7327940890242285,True,0.09298661166599996,0.0974201198238347,False,nan
in_support,none,0.0,2859398609,-0.06445550263061145,True,5.086067957092112e-06,0.01028292075862413,False,nan
in_support,none,0.0,1115833627,-0.5631063419919966,True,0.057526059428967505,0.01015735948447849,False,nan
in_support,none,0.0,1613987427,-0.1218650771877115,True,0.009708541269968443,0.13875019507952735,False,nan
in_support,none,0.0,2982244161,0.3685537950282539,False,0.10197370932618763,0.06127127616434891,True,0.19243056655933158
in_support,none,0.0,1655139049,0.3104750747323386,True,0.059530423589216966,0.06804414048074725,False,nan
in_support,none,0.0,3101925943,-0.2122467052853417,True,0.09102460918036909,0.11674753495121849,True,0.1190599087675495
in_support,none,0.0,2879418150,0.5178073171521833,True,0.06239615860601713,0.0017175677816630985,False,nan
in_support,none,0.0,3953618503,0.6213309109297127,False,0.12906671329316863,0.10904421751021731,False,nan
in_support,none,0.0,848222014,-0.7828528941557036,True,2.8829278300848283e-09,0.020699611156406728,True,0.03886699879679656
in_support,none,0.0,599080684,0.28229093896372903,True,0.0772273507202987,0.11528914830671746,False,nan
in_support,none,0.0,702412317,0.31432659372638444,True,0.013870460281164333,0.09518476707914189,False,nan
in_support,none,0.0,2957861947,-0.20777024565746868,True,0.04800530035720235,0.20310536890491873,True,0.06088461710375945
in_support,none,0.0,3215623857,-0.11059388271459161,False,0.15801404178132913,0.2859631901063413,False,nan
in_support,none,0.0,1200860862,0.25086553635089487,False,0.10812431373865324,0.1543143563316497,False,nan
in_support,none,0.0,2884585254,-0.7367153598992536,False,0.1200006882813813,0.05124063625510289,False,nan
in_support,none,0.0,2709902827,-0.25789157011398095,True,0.07492876508275045,0.019091069733553373,True,0.008152783232553529
in_support,none,0.0,2900618762,0.3520230452486992,True,0.026395971053888072,0.30666293719835613,False,nan
in_support,none,0.0,938607759,-0.04709519660366082,True,0.04128279681860207,0.23422134094505162,False,nan
in_support,none,0.0,1570083956,0.992139162731149,True,3.40524859687754e-09,0.23451710520775826,False,nan
in_support,none,0.0,3430992153,0.09792339110963152,True,0.08348149934522034,0.26408346655204284,True,0.2208237415371449
in_support,none,0.0,1632813404,0.6017839604128385,True,0.04986103231823382,0.14585390028226863,False,nan
in_support,none,0.0,1792027,0.8634313402415564,True,0.04037064906765286,0.07752171992838741,True,0.09699862150310123
