scenario,parameter,level,repetitions,exatlas_composable_rate,exatlas_composable_rate_lo,exatlas_composable_rate_hi,exatlas_mean_residual,exatlas_conditional_mae,exatlas_all_target_raw_mae,atlas_release_rate,atlas_release_rate_lo,atlas_release_rate_hi,atlas_conditional_mae
in_support,none,0.0,200,0.825,0.7663545078991807,0.8713955882539106,0.05276716683012749,0.13136988068509267,0.13382523384027384,0.41,0.34415559179081295,0.4792366892744849,0.1158302814676834
observable_shift,target_shift_fraction,0.25,200,0.39,0.325082297194914,0.45906382410711677,0.14761561938976805,0.15960691528383533,0.21522619947228655,0.295,0.23613844271901735,0.3615884197074943,0.1344559937285143
observable_shift,target_shift_fraction,0.5,200,0.045,0.023852271724704166,0.08329759366096785,0.35699062903141915,0.1682067230800483,0.467990792224019,0.07,0.04215178292291873,0.11405578216683726,0.22155442069321116
observable_shift,target_shift_fraction,0.75,200,0.005,0.0008831459893662054,0.02777439986977148,0.5362945576415277,0.24422668442256557,0.6722870553081978,0.02,0.007804300176394188,0.050287865505193874,0.24682948104742244
hidden_shift,target_hidden_shift_fraction,0.25,200,0.775,0.7122575346140798,0.8273771621308439,0.06913415481669238,0.15594540242941202,0.17729471117625364,0.395,0.3298398699878317,0.4641177912550158,0.13667426310502873
hidden_shift,target_hidden_shift_fraction,0.5,200,0.255,0.19960402982802747,0.3196305130719498,0.18033169161024823,0.19400919030923888,0.2792190101229731,0.27,0.2132335473104056,0.3354356154120221,0.18832375776908566
hidden_shift,target_hidden_shift_fraction,0.75,200,0.1,0.06566994117157123,0.14940686356308552,0.25498314100697655,0.2156529990618632,0.3942464250199141,0.115,0.07786317221824318,0.16664825233886393,0.2027187908053993
