delta,n_released,release_rate,mae,rmse,coverage,mean_interval_width
0.0661800390652261,0,0.0,,,,
0.07056205887264806,0,0.0,,,,
0.07494407868007001,0,0.0,,,,
0.07932609848749198,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.08370811829491394,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.0880901381023359,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.09247215790975785,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.09685417771717982,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.10123619752460178,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.10561821733202373,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.11000023713944569,1,0.017543859649122806,0.020954153336276732,0.020954153336276732,1.0,0.1523600781304522
0.11438225694686766,2,0.03508771929824561,0.039590412242406336,0.043757409515874826,1.0,0.18749480786137956
0.1187642767542896,2,0.03508771929824561,0.039590412242406336,0.043757409515874826,1.0,0.18749480786137956
0.12314629656171157,4,0.07017543859649122,0.04187385878455767,0.04397213852631718,1.0,0.2153567513678129
0.12752831636913353,4,0.07017543859649122,0.04187385878455767,0.04397213852631718,1.0,0.2153567513678129
0.13191033617655548,4,0.07017543859649122,0.04187385878455767,0.04397213852631718,1.0,0.2153567513678129
0.13629235598397743,4,0.07017543859649122,0.04187385878455767,0.04397213852631718,1.0,0.2153567513678129
0.1406743757913994,5,0.08771929824561403,0.0497989269032243,0.05362147958709776,1.0,0.22784759198287544
0.14505639559882136,6,0.10526315789473684,0.04886080780124036,0.0521653189699313,1.0,0.23742834656998082
0.1494384154062433,6,0.10526315789473684,0.04886080780124036,0.0521653189699313,1.0,0.23742834656998082
0.15,6,0.10526315789473684,0.04886080780124036,0.0521653189699313,1.0,0.23742834656998082
0.15382043521366529,10,0.17543859649122806,0.05930485948133739,0.06600125813447737,1.0,0.26442537454266407
0.15820245502108723,10,0.17543859649122806,0.05930485948133739,0.06600125813447737,1.0,0.26442537454266407
0.16258447482850918,11,0.19298245614035087,0.06771331912805038,0.07781345287543948,1.0,0.26941636072461467
0.16696649463593116,12,0.21052631578947367,0.06349993024174995,0.07466507518015995,1.0,0.2741125291662417
0.1713485144433531,12,0.21052631578947367,0.06349993024174995,0.07466507518015995,1.0,0.2741125291662417
0.17573053425077506,13,0.22807017543859648,0.060516399372216985,0.07206261414494754,1.0,0.27973790122383524
0.18011255405819704,14,0.24561403508771928,0.060917311669262494,0.07165509251845847,1.0,0.28539302384378096
0.18449457386561902,16,0.2807017543859649,0.06392569474237203,0.07385368854296012,1.0,0.29550082182065357
0.18887659367304094,17,0.2982456140350877,0.06363591474928723,0.07306355424286454,1.0,0.2999043619839681
0.19325861348046292,19,0.3333333333333333,0.05967819782812976,0.06992777656696615,1.0,0.308850131063654
0.19764063328788486,20,0.3508771929824561,0.06112185076750183,0.07097510472855534,1.0,0.313055853440395
0.20202265309530684,24,0.42105263157894735,0.05866299404913753,0.06838242252680325,1.0,0.32768690741992806
0.2064046729027288,29,0.5087719298245614,0.06412058333860572,0.07439400869539109,1.0,0.34161742381416227
0.21078669271015074,31,0.543859649122807,0.06473724526005403,0.0751471396583486,1.0,0.34651540298130384
0.21516871251757272,34,0.5964912280701754,0.06775576251159714,0.07817073213723552,1.0,0.35378728854675817
0.21955073232499467,39,0.6842105263157895,0.07278007902567242,0.08369846833789206,1.0,0.36417382506727364
0.22393275213241662,45,0.7894736842105263,0.0762930382617496,0.09174282595715846,0.9777777777777777,0.37458414017749725
0.2283147719398386,48,0.8421052631578947,0.07794123632669073,0.09282570686460587,0.9791666666666666,0.3793902905209376
0.23269679174726055,51,0.8947368421052632,0.07907930782816135,0.09405108250180001,0.9803921568627451,0.3843098117657203
