scenario,replicate,status,q,joint_set_covered,mechanisms,proxies,boxes,effects,noise_sd,beta,L,H,optimization_seconds
high_noise,1,evaluated,2.63273425128,True,"[0.301148044427723, -0.6062057876090892, -0.03974339458120091, 0.055192969480662435, -0.6829987464618364]","[0.21980337974218672, -0.5993168412876866, -0.12905262875769213, 0.05810917269802494, -0.6401303511332953]","[[0.061839324665574874, 0.3777674348187986], [-0.7572808963642984, -0.44135278621107477], [-0.287016683834304, 0.028911426318919714], [-0.09985488237858692, 0.21607322777463678], [-0.7980944062099071, -0.4821662960566835]]","[0.14656647815291482, -0.6419203726246275, 0.2188612978025422, 0.5366828258004148]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00810200000001
bounded_nuisance_bias,1,evaluated,2.63273425128,True,"[0.301148044427723, -0.6062057876090892, -0.03974339458120091, 0.055192969480662435, -0.6829987464618364]","[0.21980337974218672, -0.5993168412876866, -0.12905262875769213, 0.05810917269802494, -0.6401303511332953]","[[0.061839324665574874, 0.3777674348187986], [-0.7572808963642984, -0.44135278621107477], [-0.287016683834304, 0.028911426318919714], [-0.09985488237858692, 0.21607322777463678], [-0.7980944062099071, -0.4821662960566835]]","[0.12745273942125585, -0.32295868119902693, -0.002627684415732204, 0.2615807158350886]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00782749999985
nominal,2,evaluated,2.53301372986,True,"[-0.692664260568072, -0.5825199101774227, 0.02532401813630436, -0.6901582150044329, -0.1945703603693868]","[-0.6363093321166752, -0.6234497244219156, -0.04005931422859857, -0.7340752371316775, -0.21273278428580886]","[[-0.7882901559084953, -0.4843285083248551], [-0.7754305482137357, -0.4714689006300955], [-0.19204013802041864, 0.1119215095632215], [-0.8860560609234976, -0.5820944133398575], [-0.3647136080776289, -0.06075196049398879]]","[-0.30079071908097604, -0.2804631004532278, 0.10788517574383163, -0.2614232364619778]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0394156
extrapolation,2,evaluated,2.53301372986,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6436450715486032, -0.5909298142444929, -0.4653833323649029, -0.29391702212724474, 0.9318375760835779]","[[-0.7956258953404233, -0.4916642477567831], [-0.742910638036313, -0.43894899045267277], [-0.617364156156723, -0.3134025085730828], [-0.4458978459190648, -0.14193619833542467], [0.7798567522917578, 1.0]]","[-0.3021272961006271, -0.271999988072708, -0.09950162690632132, -0.12147381598074952]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0110502
proxy_shift,2,evaluated,2.53301372986,False,"[-0.692664260568072, -0.5825199101774227, 0.02532401813630436, -0.6901582150044329, -0.1945703603693868]","[-0.5235994752138816, -0.7053093529109016, -0.17082597895840443, -0.821909281386167, -0.24905763211865295]","[[-0.6755802990057017, -0.3716186514220615], [-0.8572901767027217, -0.5533285291190815], [-0.3228068027502245, -0.01884515516658436], [-0.9738901051779871, -0.6699284575943469], [-0.40103845591047305, -0.09707680832683288]]","[-0.30079071908097604, -0.2804631004532278, 0.10788517574383163, -0.2614232364619778]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0438113
understated_LH,2,evaluated,2.53301372986,True,"[-0.692664260568072, -0.5825199101774227, 0.02532401813630436, -0.6901582150044329, -0.1945703603693868]","[-0.6363093321166752, -0.6234497244219156, -0.04005931422859857, -0.7340752371316775, -0.21273278428580886]","[[-0.7882901559084953, -0.4843285083248551], [-0.7754305482137357, -0.4714689006300955], [-0.19204013802041864, 0.1119215095632215], [-0.8860560609234976, -0.5820944133398575], [-0.3647136080776289, -0.06075196049398879]]","[-0.30079071908097604, -0.2804631004532278, 0.10788517574383163, -0.2614232364619778]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0140830999999
high_noise,2,evaluated,2.53301372986,True,"[-0.692664260568072, -0.5825199101774227, 0.02532401813630436, -0.6901582150044329, -0.1945703603693868]","[-0.6363093321166752, -0.6234497244219156, -0.04005931422859857, -0.7340752371316775, -0.21273278428580886]","[[-0.7882901559084953, -0.4843285083248551], [-0.7754305482137357, -0.4714689006300955], [-0.19204013802041864, 0.1119215095632215], [-0.8860560609234976, -0.5820944133398575], [-0.3647136080776289, -0.06075196049398879]]","[-0.35904531128223016, -0.3459630765986439, 0.29288192193118895, -0.2418708684234768]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0642937999999
bounded_nuisance_bias,2,evaluated,2.53301372986,True,"[-0.692664260568072, -0.5825199101774227, 0.02532401813630436, -0.6901582150044329, -0.1945703603693868]","[-0.6363093321166752, -0.6234497244219156, -0.04005931422859857, -0.7340752371316775, -0.21273278428580886]","[[-0.7882901559084953, -0.4843285083248551], [-0.7754305482137357, -0.4714689006300955], [-0.19204013802041864, 0.1119215095632215], [-0.8860560609234976, -0.5820944133398575], [-0.3647136080776289, -0.06075196049398879]]","[-0.36079071908097604, -0.2204631004532278, 0.04788517574383164, -0.2014232364619778]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0395022999999
nominal,3,evaluated,2.62463307649,True,"[0.559017265642372, 0.48321392239252847, -0.5034661503823787, 0.13210855591404758, 0.25637855724108727]","[0.5473497833177703, 0.43811901828192423, -0.503944865039348, 0.22481842792429144, 0.36883755586671063]","[[0.38987179872852373, 0.7048277679070168], [0.2806410336926777, 0.5955970028711708], [-0.6614228496285945, -0.34646688045010143], [0.06734044333504491, 0.38229641251353796], [0.2113595712774641, 0.5263155404559572]]","[0.49761109227328104, 0.3873903210894161, -0.35071418597666726, 0.08311645047667152]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0627538000001
extrapolation,3,evaluated,2.62463307649,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7116674823246016, -0.5950949041106042, -0.4004787146569692, -0.15729012798975614, 1.0]","[[-0.8691454669138482, -0.5541894977353551], [-0.7525728886998507, -0.4376169195213576], [-0.5579566992462157, -0.2430007300677227], [-0.31476811257900267, 0.00018785659949038802], [0.8425220154107534, 1.0]]","[-0.2045493580980244, -0.2118367407842927, -0.31667794512149566, -0.13263448423546553]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00989170000003
