scenario,replicate,status,q,joint_set_covered,mechanisms,proxies,boxes,effects,noise_sd,beta,L,H,optimization_seconds
proxy_shift,49,evaluated,2.72694692102,False,"[0.7184639579022838, -0.04349277905918414, 0.4274817061567857, 0.6163159160646037, 0.4871740269863136]","[0.6832390681296326, 0.04444190541871833, 0.4990160055015772, 0.6970364728273942, 0.7090411808726067]","[[0.5196222528685286, 0.8468558833907367], [-0.11917490984238578, 0.20805872067982245], [0.3353991902404731, 0.6626328207626813], [0.5334196575662902, 0.8606532880884983], [0.5454243656115025, 0.8726579961337109]]","[0.6178272992819863, -0.05389088221584733, 0.3247421467743321, 0.40008952224447797]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0104948999999
understated_LH,49,evaluated,2.72694692102,True,"[0.7184639579022838, -0.04349277905918414, 0.4274817061567857, 0.6163159160646037, 0.4871740269863136]","[0.7067223279780668, -0.014181217566549983, 0.45132647260504954, 0.6432227683188672, 0.5611297449484113]","[[0.5431055127169626, 0.8703391432391709], [-0.1777980328276541, 0.1494355976945541], [0.28770965734394544, 0.6149432878661536], [0.47960595305776305, 0.8068395835799713], [0.39751292968730717, 0.7247465602095153]]","[0.6178272992819863, -0.05389088221584733, 0.3247421467743321, 0.40008952224447797]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0725930999999
high_noise,49,evaluated,2.72694692102,True,"[0.7184639579022838, -0.04349277905918414, 0.4274817061567857, 0.6163159160646037, 0.4871740269863136]","[0.7067223279780668, -0.014181217566549983, 0.45132647260504954, 0.6432227683188672, 0.5611297449484113]","[[0.5431055127169626, 0.8703391432391709], [-0.1777980328276541, 0.1494355976945541], [0.28770965734394544, 0.6149432878661536], [0.47960595305776305, 0.8068395835799713], [0.39751292968730717, 0.7247465602095153]]","[0.6816108730804495, -0.11061628487469563, 0.35160402747562364, 0.2327822824191786]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0467393000001
bounded_nuisance_bias,49,evaluated,2.72694692102,True,"[0.7184639579022838, -0.04349277905918414, 0.4274817061567857, 0.6163159160646037, 0.4871740269863136]","[0.7067223279780668, -0.014181217566549983, 0.45132647260504954, 0.6432227683188672, 0.5611297449484113]","[[0.5431055127169626, 0.8703391432391709], [-0.1777980328276541, 0.1494355976945541], [0.28770965734394544, 0.6149432878661536], [0.47960595305776305, 0.8068395835799713], [0.39751292968730717, 0.7247465602095153]]","[0.5578272992819864, 0.006109117784152671, 0.2647421467743321, 0.46008952224447797]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0393635
nominal,50,evaluated,2.52873869689,True,"[0.40843833496132187, 0.347381453711082, -0.497667626055722, -0.07564048423772518, 0.5936505053847039]","[0.38177035598438325, 0.37136529538413543, -0.5185809125188131, -0.05068616581534148, 0.6233593884872662]","[[0.23004603417111522, 0.5334946777976513], [0.2196409735708674, 0.5230896171974034], [-0.6703052343320811, -0.3668565907055451], [-0.20241048762860953, 0.10103815599792655], [0.47163506667399824, 0.7750837103005342]]","[0.37284924747884535, 0.2863607972317788, -0.2722093001807747, 0.03253372059685309]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00807469999995
extrapolation,50,evaluated,2.52873869689,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7266679789769386, -0.5260161583269465, -0.42091328646309106, -0.22504568157761629, 0.9797088831025623]","[[-0.8783923007902066, -0.5749436571636706], [-0.6777404801402145, -0.3742918365136785], [-0.5726376082763591, -0.269188964649823], [-0.3767700033908843, -0.07332135976434825], [0.8279845612892943, 1.0]]","[-0.19526031553774087, -0.19752023730959775, -0.2399106443545229, -0.05504843371722708]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0104638999999
proxy_shift,50,evaluated,2.52873869689,True,"[0.40843833496132187, 0.347381453711082, -0.497667626055722, -0.07564048423772518, 0.5936505053847039]","[0.3284343980305059, 0.4193329787302423, -0.5604074854449953, -0.0007775289705740651, 0.6827771546923911]","[[0.17671007621723786, 0.4801587198437739], [0.2676086569169742, 0.5710573005435103], [-0.7121318072582633, -0.4086831636317273], [-0.1525018507838421, 0.15094679284269397], [0.5310528328791231, 0.8345014765056591]]","[0.37284924747884535, 0.2863607972317788, -0.2722093001807747, 0.03253372059685309]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0123027000002
understated_LH,50,evaluated,2.52873869689,True,"[0.40843833496132187, 0.347381453711082, -0.497667626055722, -0.07564048423772518, 0.5936505053847039]","[0.38177035598438325, 0.37136529538413543, -0.5185809125188131, -0.05068616581534148, 0.6233593884872662]","[[0.23004603417111522, 0.5334946777976513], [0.2196409735708674, 0.5230896171974034], [-0.6703052343320811, -0.3668565907055451], [-0.20241048762860953, 0.10103815599792655], [0.47163506667399824, 0.7750837103005342]]","[0.37284924747884535, 0.2863607972317788, -0.2722093001807747, 0.03253372059685309]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.00871839999991
high_noise,50,evaluated,2.52873869689,True,"[0.40843833496132187, 0.347381453711082, -0.497667626055722, -0.07564048423772518, 0.5936505053847039]","[0.38177035598438325, 0.37136529538413543, -0.5185809125188131, -0.05068616581534148, 0.6233593884872662]","[[0.23004603417111522, 0.5334946777976513], [0.2196409735708674, 0.5230896171974034], [-0.6703052343320811, -0.3668565907055451], [-0.20241048762860953, 0.10103815599792655], [0.47163506667399824, 0.7750837103005342]]","[0.5283286164033637, 0.36982032261258324, -0.36803058888982054, 0.18493685316239897]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00692200000003
bounded_nuisance_bias,50,evaluated,2.52873869689,True,"[0.40843833496132187, 0.347381453711082, -0.497667626055722, -0.07564048423772518, 0.5936505053847039]","[0.38177035598438325, 0.37136529538413543, -0.5185809125188131, -0.05068616581534148, 0.6233593884872662]","[[0.23004603417111522, 0.5334946777976513], [0.2196409735708674, 0.5230896171974034], [-0.6703052343320811, -0.3668565907055451], [-0.20241048762860953, 0.10103815599792655], [0.47163506667399824, 0.7750837103005342]]","[0.31284924747884535, 0.3463607972317788, -0.3322093001807747, 0.09253372059685308]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00764340000001
nominal,51,evaluated,2.43287891813,True,"[0.47239542659554035, 0.4780120844605251, -0.351464313318035, -0.6998314675323917, 0.1604402088450938]","[0.4197393026110324, 0.4123946677928162, -0.4077393379038, -0.6072717560115737, 0.21999546326903274]","[[0.27376656752306056, 0.5657120376990044], [0.2664219327048443, 0.5583674028807881], [-0.5537120729917719, -0.26176660281582814], [-0.7532444910995455, -0.4612990209236018], [0.07402272818106087, 0.3659681983570046]]","[0.34657200023646495, 0.2219040204916645, -0.17841373246055006, -0.3507876325394972]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0518279
extrapolation,51,evaluated,2.43287891813,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7526561239845079, -0.6156174166677089, -0.45627502458576497, -0.15744028847918204, 1.0]","[[-0.8986288590724798, -0.606683388896536], [-0.7615901517556807, -0.469644681579737], [-0.6022477596737368, -0.3103022894977931], [-0.30341302356715394, -0.011467553391210167], [0.8540272649120282, 1.0]]","[-0.27681248744137404, -0.3727018960517394, -0.19659329353056437, -0.20906797690462453]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0102992000002
proxy_shift,51,evaluated,2.43287891813,False,"[0.47239542659554035, 0.4780120844605251, -0.351464313318035, -0.6998314675323917, 0.1604402088450938]","[0.31442705464201665, 0.2811598344573983, -0.52028938707533, -0.4221523329699378, 0.3391059721169106]","[[0.16845431955404477, 0.4603997897299885], [0.1351870993694264, 0.42713256954537016], [-0.6662621221633018, -0.37431665198735814], [-0.5681250680579097, -0.27617959788196594], [0.19313323702893875, 0.4850787072048825]]","[0.34657200023646495, 0.2219040204916645, -0.17841373246055006, -0.3507876325394972]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00789230000009
understated_LH,51,evaluated,2.43287891813,True,"[0.47239542659554035, 0.4780120844605251, -0.351464313318035, -0.6998314675323917, 0.1604402088450938]","[0.4197393026110324, 0.4123946677928162, -0.4077393379038, -0.6072717560115737, 0.21999546326903274]","[[0.27376656752306056, 0.5657120376990044], [0.2664219327048443, 0.5583674028807881], [-0.5537120729917719, -0.26176660281582814], [-0.7532444910995455, -0.4612990209236018], [0.07402272818106087, 0.3659681983570046]]","[0.34657200023646495, 0.2219040204916645, -0.17841373246055006, -0.3507876325394972]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0125372
high_noise,51,evaluated,2.43287891813,True,"[0.47239542659554035, 0.4780120844605251, -0.351464313318035, -0.6998314675323917, 0.1604402088450938]","[0.4197393026110324, 0.4123946677928162, -0.4077393379038, -0.6072717560115737, 0.21999546326903274]","[[0.27376656752306056, 0.5657120376990044], [0.2664219327048443, 0.5583674028807881], [-0.5537120729917719, -0.26176660281582814], [-0.7532444910995455, -0.4612990209236018], [0.07402272818106087, 0.3659681983570046]]","[0.3389470253537169, -0.04499977161181434, -0.18760031952167885, -0.5064235863487463]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0656765000001
bounded_nuisance_bias,51,evaluated,2.43287891813,True,"[0.47239542659554035, 0.4780120844605251, -0.351464313318035, -0.6998314675323917, 0.1604402088450938]","[0.4197393026110324, 0.4123946677928162, -0.4077393379038, -0.6072717560115737, 0.21999546326903274]","[[0.27376656752306056, 0.5657120376990044], [0.2664219327048443, 0.5583674028807881], [-0.5537120729917719, -0.26176660281582814], [-0.7532444910995455, -0.4612990209236018], [0.07402272818106087, 0.3659681983570046]]","[0.28657200023646495, 0.2819040204916645, -0.23841373246055006, -0.2907876325394972]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0520813999999
nominal,52,evaluated,2.60537011284,True,"[0.5916358346854953, 0.7368432886141112, 0.25755682158615945, -0.16344514895685802, -0.30201998587773016]","[0.6216324908863277, 0.7363243570005535, 0.24385979817850537, -0.07788158408000907, -0.23072373507703325]","[[0.4653102841161251, 0.7779546976565302], [0.580002150230351, 0.8926465637707561], [0.08753759140830275, 0.400182004948708], [-0.2342037908502117, 0.07844062269019354], [-0.38704594184723584, -0.07440152830683064]]","[0.49778738952705104, 0.5616896884035021, 0.29133693573831715, -0.2162678921633842]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00887809999995
extrapolation,52,evaluated,2.60537011284,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6700033437991676, -0.5505189316135576, -0.4136970234076541, -0.16443643512315104, 1.0]","[[-0.8263255505693702, -0.513681137028965], [-0.7068411383837602, -0.394196724843355], [-0.5700192301778567, -0.25737481663745143], [-0.3207586418933537, -0.008114228352948422], [0.8436777932297974, 1.0]]","[-0.23520399954944696, -0.2825476943576622, -0.07509781211704793, -0.25746509780452825]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00902300000007
proxy_shift,52,evaluated,2.60537011284,False,"[0.5916358346854953, 0.7368432886141112, 0.25755682158615945, -0.16344514895685802, -0.30201998587773016]","[0.6816258032879924, 0.7352864937734384, 0.21646575136319718, 0.09324554567368881, -0.08813123347563939]","[[0.5253035965177898, 0.837948010058195], [0.5789642870032358, 0.8916087005436409], [0.06014354459299456, 0.3727879581333998], [-0.0630766610965138, 0.24956775244389143], [-0.244453440245842, 0.06819097329456322]]","[0.49778738952705104, 0.5616896884035021, 0.29133693573831715, -0.2162678921633842]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0123248
understated_LH,52,evaluated,2.60537011284,True,"[0.5916358346854953, 0.7368432886141112, 0.25755682158615945, -0.16344514895685802, -0.30201998587773016]","[0.6216324908863277, 0.7363243570005535, 0.24385979817850537, -0.07788158408000907, -0.23072373507703325]","[[0.4653102841161251, 0.7779546976565302], [0.580002150230351, 0.8926465637707561], [0.08753759140830275, 0.400182004948708], [-0.2342037908502117, 0.07844062269019354], [-0.38704594184723584, -0.07440152830683064]]","[0.49778738952705104, 0.5616896884035021, 0.29133693573831715, -0.2162678921633842]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0100396
high_noise,52,evaluated,2.60537011284,True,"[0.5916358346854953, 0.7368432886141112, 0.25755682158615945, -0.16344514895685802, -0.30201998587773016]","[0.6216324908863277, 0.7363243570005535, 0.24385979817850537, -0.07788158408000907, -0.23072373507703325]","[[0.4653102841161251, 0.7779546976565302], [0.580002150230351, 0.8926465637707561], [0.08753759140830275, 0.400182004948708], [-0.2342037908502117, 0.07844062269019354], [-0.38704594184723584, -0.07440152830683064]]","[0.5733793904281571, 0.47509429968817757, 0.5251413115042212, -0.4686980877724407]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0106901000001
bounded_nuisance_bias,52,evaluated,2.60537011284,True,"[0.5916358346854953, 0.7368432886141112, 0.25755682158615945, -0.16344514895685802, -0.30201998587773016]","[0.6216324908863277, 0.7363243570005535, 0.24385979817850537, -0.07788158408000907, -0.23072373507703325]","[[0.4653102841161251, 0.7779546976565302], [0.580002150230351, 0.8926465637707561], [0.08753759140830275, 0.400182004948708], [-0.2342037908502117, 0.07844062269019354], [-0.38704594184723584, -0.07440152830683064]]","[0.43778738952705104, 0.6216896884035021, 0.23133693573831715, -0.15626789216338421]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0101501000001
nominal,53,evaluated,2.71733050639,True,"[0.46479593546201836, -0.16877288343668317, -0.7454353289504093, -0.08523952403619506, 0.3085720621128134]","[0.5752455277865592, -0.19691311346827944, -0.7579088511391198, -0.12343754914350134, 0.34388284027488025]","[[0.4122056974030995, 0.7382853581700191], [-0.3599529438517392, -0.03387328308481968], [-0.9209486815225796, -0.59486902075566], [-0.2864773795269611, 0.03960228123995842], [0.1808430098914205, 0.5069226706583401]]","[0.3796584946455067, -0.1599383445663881, -0.2265560067312954, -0.1618168221690741]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0399760999999
extrapolation,53,evaluated,2.71733050639,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.5895504076754591, -0.5781402300315962, -0.41247352218871036, -0.2881980251073063, 0.9853107781620668]","[[-0.7525902380589189, -0.4265105772919993], [-0.741180060415056, -0.41510039964813644], [-0.5755133525721701, -0.2494336918052506], [-0.45123785549076606, -0.12515819472384654], [0.822270947778607, 1.0]]","[-0.23702964511830812, -0.30646990035943783, -0.13799695825527128, -0.24410284068473218]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0124995000001
proxy_shift,53,evaluated,2.71733050639,False,"[0.46479593546201836, -0.16877288343668317, -0.7454353289504093, -0.08523952403619506, 0.3085720621128134]","[0.7961447124356409, -0.253193573531472, -0.7828558955165406, -0.1998335993581139, 0.4145043965990139]","[[0.6331048820521812, 0.9591845428191006], [-0.41623340391493174, -0.09015374314801222], [-0.9458957259000003, -0.6198160651330809], [-0.36287342974157366, -0.03679376897465414], [0.25146456621555413, 0.5775442269824737]]","[0.3796584946455067, -0.1599383445663881, -0.2265560067312954, -0.1618168221690741]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0480189999998
understated_LH,53,evaluated,2.71733050639,True,"[0.46479593546201836, -0.16877288343668317, -0.7454353289504093, -0.08523952403619506, 0.3085720621128134]","[0.5752455277865592, -0.19691311346827944, -0.7579088511391198, -0.12343754914350134, 0.34388284027488025]","[[0.4122056974030995, 0.7382853581700191], [-0.3599529438517392, -0.03387328308481968], [-0.9209486815225796, -0.59486902075566], [-0.2864773795269611, 0.03960228123995842], [0.1808430098914205, 0.5069226706583401]]","[0.3796584946455067, -0.1599383445663881, -0.2265560067312954, -0.1618168221690741]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0813479999999
high_noise,53,evaluated,2.71733050639,True,"[0.46479593546201836, -0.16877288343668317, -0.7454353289504093, -0.08523952403619506, 0.3085720621128134]","[0.5752455277865592, -0.19691311346827944, -0.7579088511391198, -0.12343754914350134, 0.34388284027488025]","[[0.4122056974030995, 0.7382853581700191], [-0.3599529438517392, -0.03387328308481968], [-0.9209486815225796, -0.59486902075566], [-0.2864773795269611, 0.03960228123995842], [0.1808430098914205, 0.5069226706583401]]","[0.4515992044088905, -0.29437814528526385, -0.11854992324183802, -0.38752250353853845]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0629643
bounded_nuisance_bias,53,evaluated,2.71733050639,True,"[0.46479593546201836, -0.16877288343668317, -0.7454353289504093, -0.08523952403619506, 0.3085720621128134]","[0.5752455277865592, -0.19691311346827944, -0.7579088511391198, -0.12343754914350134, 0.34388284027488025]","[[0.4122056974030995, 0.7382853581700191], [-0.3599529438517392, -0.03387328308481968], [-0.9209486815225796, -0.59486902075566], [-0.2864773795269611, 0.03960228123995842], [0.1808430098914205, 0.5069226706583401]]","[0.3196584946455067, -0.09993834456638812, -0.2865560067312954, -0.10181682216907409]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0438528
nominal,54,evaluated,2.57429124995,True,"[-0.4524840383014381, -0.7522765951598047, -0.5386346017802435, 0.37762918416117097, -0.63542768154565]","[-0.5278651427366469, -0.8182166859217963, -0.5346540256776119, 0.28496567483542073, -0.6187431372403607]","[[-0.6823226177333678, -0.37340766773992595], [-0.9726741609185172, -0.6637592109250754], [-0.6891115006743328, -0.380196550680891], [0.13050819983869982, 0.43942314983214165], [-0.7732006122370816, -0.46428566224363976]]","[-0.23448513885661387, -0.2916888740939713, -0.3213737774279706, 0.26594016522353053]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0477765999999
extrapolation,54,evaluated,2.57429124995,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7753811044352088, -0.6159400907619915, -0.39601942389736844, -0.34266350932575024, 0.9666845443052893]","[[-0.9298385794319297, -0.6209236294384879], [-0.7703975657587124, -0.4614826157652706], [-0.5504768988940894, -0.24156194890064753], [-0.49712098432247115, -0.18820603432902933], [0.8122270693085684, 1.0]]","[-0.2974172573510242, -0.24934893968565713, -0.27723118663031293, -0.13466848549224147]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0189123
proxy_shift,54,evaluated,2.57429124995,False,"[-0.4524840383014381, -0.7522765951598047, -0.5386346017802435, 0.37762918416117097, -0.63542768154565]","[-0.6786273516070644, -0.9500968674457796, -0.5266928734723488, 0.0996386561839202, -0.5853740486297822]","[[-0.8330848266037854, -0.5241698766103435], [-1.0, -0.7956393924490587], [-0.6811503484690697, -0.3722353984756279], [-0.05481881881280071, 0.2540961311806411], [-0.7398315236265031, -0.43091657363306124]]","[-0.23448513885661387, -0.2916888740939713, -0.3213737774279706, 0.26594016522353053]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0514899
understated_LH,54,evaluated,2.57429124995,True,"[-0.4524840383014381, -0.7522765951598047, -0.5386346017802435, 0.37762918416117097, -0.63542768154565]","[-0.5278651427366469, -0.8182166859217963, -0.5346540256776119, 0.28496567483542073, -0.6187431372403607]","[[-0.6823226177333678, -0.37340766773992595], [-0.9726741609185172, -0.6637592109250754], [-0.6891115006743328, -0.380196550680891], [0.13050819983869982, 0.43942314983214165], [-0.7732006122370816, -0.46428566224363976]]","[-0.23448513885661387, -0.2916888740939713, -0.3213737774279706, 0.26594016522353053]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0160372
high_noise,54,evaluated,2.57429124995,True,"[-0.4524840383014381, -0.7522765951598047, -0.5386346017802435, 0.37762918416117097, -0.63542768154565]","[-0.5278651427366469, -0.8182166859217963, -0.5346540256776119, 0.28496567483542073, -0.6187431372403607]","[[-0.6823226177333678, -0.37340766773992595], [-0.9726741609185172, -0.6637592109250754], [-0.6891115006743328, -0.380196550680891], [0.13050819983869982, 0.43942314983214165], [-0.7732006122370816, -0.46428566224363976]]","[-0.2833196535586623, -0.3118867534652856, -0.4918361506885965, 0.2591031942390476]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0747896999999
bounded_nuisance_bias,54,evaluated,2.57429124995,True,"[-0.4524840383014381, -0.7522765951598047, -0.5386346017802435, 0.37762918416117097, -0.63542768154565]","[-0.5278651427366469, -0.8182166859217963, -0.5346540256776119, 0.28496567483542073, -0.6187431372403607]","[[-0.6823226177333678, -0.37340766773992595], [-0.9726741609185172, -0.6637592109250754], [-0.6891115006743328, -0.380196550680891], [0.13050819983869982, 0.43942314983214165], [-0.7732006122370816, -0.46428566224363976]]","[-0.29448513885661387, -0.23168887409397132, -0.3813737774279706, 0.32594016522353053]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0460957999999
nominal,55,evaluated,2.52500533959,True,"[0.75089668298013, -0.7720958285825135, -0.2702156135536117, 0.09616590470615449, -0.17672713062882917]","[0.7496927070394146, -0.7846862032782529, -0.29677763435580706, 0.09506292360084585, -0.129816644672286]","[[0.5981923866640666, 0.9011930274147626], [-0.9361865236536009, -0.6331858829029049], [-0.448277954731155, -0.14527731398045912], [-0.05643739677450209, 0.24656324397619378], [-0.2813169650476339, 0.021683675703061928]]","[0.5799888614698474, -0.3173084280773308, -0.19273562194099073, 0.11969899280607652]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0490591
extrapolation,55,evaluated,2.52500533959,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7012039759407154, -0.5625903746957394, -0.42656202080219535, -0.25110298110530865, 0.9969104859565431]","[[-0.8527042963160634, -0.5497036555653674], [-0.7140906950710872, -0.4110900543203914], [-0.5780623411775433, -0.2750617004268474], [-0.4026033014806566, -0.09960266072996071], [0.8454101655811952, 1.0]]","[-0.3127028968713992, -0.2721405214821781, -0.24451119715127015, -0.07202491438600213]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0129772999999
proxy_shift,55,evaluated,2.52500533959,True,"[0.75089668298013, -0.7720958285825135, -0.2702156135536117, 0.09616590470615449, -0.17672713062882917]","[0.7472847551579839, -0.8098669526697317, -0.3499016759601979, 0.09285696139022856, -0.03599567275919971]","[[0.595784434782636, 0.8987850755333318], [-0.9613672730450797, -0.6583666322943837], [-0.5014019963355458, -0.19840135558484995], [-0.05864335898511938, 0.2443572817655765], [-0.18749599313454765, 0.11550464761614823]]","[0.5799888614698474, -0.3173084280773308, -0.19273562194099073, 0.11969899280607652]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0526565
understated_LH,55,evaluated,2.52500533959,True,"[0.75089668298013, -0.7720958285825135, -0.2702156135536117, 0.09616590470615449, -0.17672713062882917]","[0.7496927070394146, -0.7846862032782529, -0.29677763435580706, 0.09506292360084585, -0.129816644672286]","[[0.5981923866640666, 0.9011930274147626], [-0.9361865236536009, -0.6331858829029049], [-0.448277954731155, -0.14527731398045912], [-0.05643739677450209, 0.24656324397619378], [-0.2813169650476339, 0.021683675703061928]]","[0.5799888614698474, -0.3173084280773308, -0.19273562194099073, 0.11969899280607652]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0484618
high_noise,55,evaluated,2.52500533959,True,"[0.75089668298013, -0.7720958285825135, -0.2702156135536117, 0.09616590470615449, -0.17672713062882917]","[0.7496927070394146, -0.7846862032782529, -0.29677763435580706, 0.09506292360084585, -0.129816644672286]","[[0.5981923866640666, 0.9011930274147626], [-0.9361865236536009, -0.6331858829029049], [-0.448277954731155, -0.14527731398045912], [-0.05643739677450209, 0.24656324397619378], [-0.2813169650476339, 0.021683675703061928]]","[0.5005830677270491, -0.383089471041687, -0.2977580162435311, 0.2381491640340723]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0448715
bounded_nuisance_bias,55,evaluated,2.52500533959,True,"[0.75089668298013, -0.7720958285825135, -0.2702156135536117, 0.09616590470615449, -0.17672713062882917]","[0.7496927070394146, -0.7846862032782529, -0.29677763435580706, 0.09506292360084585, -0.129816644672286]","[[0.5981923866640666, 0.9011930274147626], [-0.9361865236536009, -0.6331858829029049], [-0.448277954731155, -0.14527731398045912], [-0.05643739677450209, 0.24656324397619378], [-0.2813169650476339, 0.021683675703061928]]","[0.5199888614698474, -0.2573084280773308, -0.25273562194099075, 0.1796989928060765]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0493159
nominal,56,evaluated,2.39850089651,True,"[-0.19075852913518576, -0.4569491558278815, -0.7099902360685246, 0.6769468623717478, 0.6093790656609848]","[-0.2271327658023372, -0.33593261949299735, -0.7078154494678914, 0.6386370695354859, 0.6892002130747937]","[[-0.3710428195926845, -0.08322271201198994], [-0.4798426732833446, -0.19202256570265008], [-0.8517255032582387, -0.5639053956775442], [0.49472701574513867, 0.7825471233258332], [0.5452901592844465, 0.833110266865141]]","[-0.10067694064811193, -0.2826236839438516, -0.2205988528522895, 0.481490309218061]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00829700000008
extrapolation,56,evaluated,2.39850089651,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7363742366671514, -0.4289834636651158, -0.3978252133993668, -0.2883097928362619, 1.0]","[[-0.8802842904574987, -0.5924641828768041], [-0.572893517455463, -0.28507340987476854], [-0.541735267189714, -0.2539151596090195], [-0.43221984662660917, -0.14439973904591463], [0.8560899462096527, 1.0]]","[-0.27013846809834635, -0.3103449497506668, -0.1378305518049665, -0.193404924547474]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0162155
