replicate,mode,target,truth,status,lower,upper,width,covered,best_singleton_width,closed_form_error
0,exact_sources,-0.395500690521,-0.190374175452,optimal,-0.329226786591,0.0316446705858,0.360871457177,True,0.424961310245,0
0,noisy_sources,-0.395500690521,-0.190374175452,optimal,-0.451911268505,0.189195613279,0.641106881784,True,0.815590981617,
1,exact_sources,0.942493013344,0.831983732067,optimal,-1.21577682016,1.16015503749,2.37593185765,True,2.37593185765,0
1,noisy_sources,0.942493013344,0.831983732067,optimal,-1.37955664093,1.37568431467,2.75524095561,True,2.76656152902,
2,exact_sources,0.352374331852,0.248674900036,optimal,0.155379125923,0.445325342318,0.289946216394,True,0.764001273392,0
2,noisy_sources,0.352374331852,0.248674900036,optimal,-0.0727788515254,0.629127088178,0.701905939703,True,1.15463094476,
3,exact_sources,0.270613179422,0.184337355516,optimal,0.11577762301,0.335256553005,0.219478929995,True,0.42840783482,0
3,noisy_sources,0.270613179422,0.184337355516,optimal,0.0296795628832,0.575921128991,0.546241566107,True,0.819037506192,
4,exact_sources,-0.77575923757,-0.284914824139,optimal,-0.397331632646,-0.136100104721,0.261231527925,True,0.261231527925,0
4,noisy_sources,-0.77575923757,-0.284914824139,optimal,-0.537391934857,0.114469264441,0.651861199298,True,0.651861199298,
5,exact_sources,0.215839019369,0.143479356306,optimal,0.118133225516,0.252198836081,0.134065610565,True,0.134065610565,0
5,noisy_sources,0.215839019369,0.143479356306,optimal,-0.0204017479439,0.370520884647,0.390922632591,True,0.524695281938,
6,exact_sources,-0.282313304995,-0.145477742344,optimal,-0.14601226257,-0.144344448319,0.00166781425077,True,0.00166781425077,0
6,noisy_sources,-0.282313304995,-0.145477742344,optimal,-0.470142672343,-0.0778451867199,0.392297485623,True,0.392297485623,
7,exact_sources,-0.718104357155,-0.276160453964,optimal,-0.369969291177,-0.14545638137,0.224512909807,True,0.224512909807,0
7,noisy_sources,-0.718104357155,-0.276160453964,optimal,-0.482876467555,0.132266113625,0.61514258118,True,0.61514258118,
8,exact_sources,0.318800525501,0.221770447818,optimal,0.147990783867,0.237416065805,0.0894252819379,True,0.0894252819379,0
8,noisy_sources,0.318800525501,0.221770447818,optimal,-0.00868940068706,0.471365552623,0.48005495331,True,0.48005495331,
9,exact_sources,0.845517217854,0.721780140419,optimal,0.347260833079,0.745413621978,0.398152788899,True,0.398152788899,0
9,noisy_sources,0.845517217854,0.721780140419,optimal,0.136567554585,0.925350014857,0.788782460272,True,0.788782460272,
10,exact_sources,-0.990851515412,-0.299974891569,optimal,-0.44836011193,-0.140294636637,0.308065475292,True,0.308065475292,0
10,noisy_sources,-0.990851515412,-0.299974891569,optimal,-0.697500012288,0.00119513437676,0.698695146665,True,0.698695146665,
11,exact_sources,0.0869736673074,0.0544535260259,optimal,-0.104232327141,0.683236400487,0.787468727628,True,0.866549635411,0
