shift,method,radius,n,coverage,mc_lower,mc_upper,analytic,set_valid
0.44,paper_gaussian_set,0.495996398454,20000,0.71475,0.70845140619,0.720966114324,0.712247998106,False
0.44,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999668538,False
0.46,semantic_gaussian,0.195996398454,20000,0.00425,0.00343869871202,0.0052517050376,0.00414486083102,False
0.46,paper_gaussian_set,0.495996398454,20000,0.6446,0.637939398671,0.651205064502,0.640562966568,False
0.46,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999087619,False
0.48,semantic_gaussian,0.195996398454,20000,0.00205,0.00151158105862,0.00277966764966,0.00225542202857,False
0.48,paper_gaussian_set,0.495996398454,20000,0.56705,0.560170840938,0.573903407026,0.5635452775,False
0.48,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999997583646,False
0.5,semantic_gaussian,0.195996398454,20000,0.00115,0.000766459520851,0.00172513485232,0.0011827492965,False
0.5,paper_gaussian_set,0.495996398454,20000,0.48755,0.480625685018,0.49447909668,0.484032206558,False
0.5,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999993842125,False
