ambiguity,sigma,n,risk,risk_mcse,analytic_risk,risk_over_rate,minimax_lower,upper
0.01,0.01,40000,0.0117102685194,3.98492555442e-05,0.0116663094118,1.17102685194,0.01,0.017978845608
0.01,0.0119377664171,40000,0.012729080497,4.50614890693e-05,0.0126842920569,1.06628661109,0.01,0.0195249595147
0.01,0.014251026703,40000,0.0141057131339,5.12241526267e-05,0.0140606181538,0.989803291216,0.01,0.0213706741819
0.01,0.0170125427985,40000,0.0158933328902,5.86851000435e-05,0.015853778884,0.934212661706,0.01,0.0235740452389
0.01,0.020309176209,40000,0.0181587004663,6.77744836674e-05,0.0181299775359,0.894113098404,0.01,0.0262043781398
0.01,0.0242446201708,40000,0.0209815723859,7.8841989414e-05,0.0209669586184,0.865411470175,0.01,0.0293444081168
0.01,0.0289426612472,40000,0.0244543648676,9.22952469449e-05,0.0244577405087,0.844924544388,0.01,0.0330929025577
0.01,0.0345510729459,40000,0.0286932982886,0.00010856687826,0.0287144196371,0.830460412432,0.01,0.0375677676627
0.01,0.041246263829,40000,0.0338319370428,0.000128203271337,0.0338722674282,0.820242463247,0.01,0.0429097571
0.01,0.0492388263171,40000,0.0400307036077,0.000151852763589,0.0400943447866,0.81299061334,0.01,0.0492868993104
0.01,0.0587801607227,40000,0.0474850117375,0.000180270401358,0.0475768527556,0.807840794472,0.01,0.0568997827222
0.01,0.070170382867,40000,0.0564329152826,0.00021433503766,0.0565554385707,0.804226982622,0.01,0.0659878651152
0.01,0.0837677640068,40000,0.0671565338066,0.00025511896834,0.0673126887895,0.801699013968,0.0104709705009,0.076837005594
0.01,0.1,40000,0.0799915898676,0.000303918567042,0.0801870662409,0.799915898676,0.0125,0.0897884560803
0.01,0.119377664171,40000,0.0953438775028,0.000362257002346,0.0955835848964,0.798674343015,0.0149222080214,0.105249595147
0.01,0.14251026703,40000,0.113694684095,0.000431980967927,0.113986566336,0.79779995129,0.0178137833788,0.123706741819
0.01,0.170125427985,40000,0.135622970901,0.000515272734414,0.135974883808,0.797194002725,0.0212656784982,0.145740452389
0.01,0.20309176209,40000,0.161818517178,0.000614752312615,0.162240176217,0.79677538622,0.0253864702613,0.172043781398
0.01,0.242446201708,40000,0.1931055733,0.000733547098918,0.193608606629,0.796488342317,0.0303057752135,0.203444081168
0.01,0.289426612472,40000,0.230467994046,0.000875395529114,0.231066850704,0.796291647398,0.036178326559,0.240929025577
0.01,0.345510729459,40000,0.275080187907,0.00104476468992,0.275793133081,0.79615526944,0.0431888411824,0.285677676627
0.01,0.41246263829,40000,0.328344565212,0.00124698750838,0.329194288303,0.796058926871,0.0515578297863,0.339097571
0.01,0.492388263171,40000,0.391936238154,0.00148842663597,0.39295001221,0.795990212339,0.0615485328963,0.402868993104
0.01,0.587801607227,40000,0.467854958189,0.00177667953912,0.469065695811,0.795940249969,0.0734752009034,0.478997827222
0.01,0.70170382867,40000,0.558489750579,0.00212080606237,0.559935503561,0.795905234887,0.0877129785838,0.569878651152
0.01,0.837677640068,40000,0.666691109497,0.00253163282288,0.668417680172,0.795880273756,0.104709705009,0.67837005594
0.01,1,40000,0.795861914035,0.00302208548904,0.797924454698,0.795861914035,0.125,0.807884560803
0.0119377664171,0.01,40000,0.013116750889,4.22090601731e-05,0.0130742132232,1.09876089301,0.0119377664171,0.0199166120252
0.0119377664171,0.0119377664171,40000,0.0139794450267,4.75711104584e-05,0.0139269676708,1.17102685194,0.0119377664171,0.0214627259319
0.0119377664171,0.014251026703,40000,0.0151956789678,5.37933530918e-05,0.0151422115743,1.06628661109,0.0119377664171,0.0233084405991
0.0119377664171,0.0170125427985,40000,0.0168390708539,6.11501968974e-05,0.0167852375201,0.989803291216,0.0119377664171,0.0255118116561
0.0119377664171,0.020309176209,40000,0.0189730895633,7.00569016486e-05,0.0189258709147,0.934212661706,0.0119377664171,0.028142144557
0.0119377664171,0.0242446201708,40000,0.0216774324606,8.09075955064e-05,0.0216431436971,0.894113098404,0.0119377664171,0.031282174534
0.0119377664171,0.0289426612472,40000,0.0250473110207,9.41197253488e-05,0.0250298654465,0.865411470175,0.0119377664171,0.0350306689748
0.0119377664171,0.0345510729459,40000,0.0291930495669,0.000110179909944,0.0291970793284,0.844924544388,0.0119377664171,0.0395055340799
0.0119377664171,0.041246263829,40000,0.0342533892707,0.000129604603331,0.0342786034431,0.830460412432,0.0119377664171,0.0448475235171
0.0119377664171,0.0492388263171,40000,0.0403877761857,0.000153046070713,0.0404359216576,0.820242463247,0.0119377664171,0.0512246657276
0.0119377664171,0.0587801607227,40000,0.0477877189182,0.000181278282152,0.0478636922711,0.81299061334,0.0119377664171,0.0588375491393
0.0119377664171,0.070170382867,40000,0.0566864978437,0.000215202594333,0.0567961355059,0.807840794472,0.0119377664171,0.0679256315324
0.0119377664171,0.0837677640068,40000,0.0673682960882,0.00025586816146,0.0675145615276,0.804226982622,0.0119377664171,0.0787747720112
0.0119377664171,0.1,40000,0.0801699013968,0.000304555065262,0.0803563155679,0.801699013968,0.0125,0.0917262224974
0.0119377664171,0.119377664171,40000,0.0954920915176,0.000362810886318,0.095725446646,0.799915898676,0.0149222080214,0.107187361564
0.0119377664171,0.14251026703,40000,0.113819293893,0.000432453947699,0.114105450981,0.798674343015,0.0178137833788,0.125644508237
0.0119377664171,0.170125427985,40000,0.13572605816,0.000515688789176,0.136074500361,0.79779995129,0.0212656784982,0.147678218807
0.0119377664171,0.20309176209,40000,0.161903534741,0.000615120554456,0.16232364015,0.797194002725,0.0253864702613,0.173981547815
0.0119377664171,0.242446201708,40000,0.193175166004,0.00073387695124,0.193678532716,0.79677538622,0.0303057752135,0.205381847585
0.0119377664171,0.289426612472,40000,0.23052492279,0.000875691392286,0.231125432229,0.796488342317,0.036178326559,0.242866791994
0.0119377664171,0.345510729459,40000,0.275127307955,0.00104502673492,0.275842209045,0.796291647398,0.0431888411824,0.287615443044
0.0119377664171,0.41246263829,40000,0.328384302922,0.00124721568291,0.329235400217,0.79615526944,0.0515578297863,0.341035337417
0.0119377664171,0.492388263171,40000,0.391970072383,0.00148862456002,0.392984451962,0.796058926871,0.0615485328963,0.404806759522
0.0119377664171,0.587801607227,40000,0.46788432615,0.00177684895092,0.469094545938,0.795990212339,0.0734752009034,0.480935593639
0.0119377664171,0.70170382867,40000,0.558514320796,0.00212095853361,0.559959671089,0.795940249969,0.0877129785838,0.57181641757
0.0119377664171,0.837677640068,40000,0.666712018878,0.00253176873886,0.668437925018,0.795905234887,0.104709705009,0.680307822357
0.0119377664171,1,40000,0.795880273756,0.00302220412935,0.797941413499,0.795880273756,0.125,0.80982232722
0.014251026703,0.01,40000,0.0149886713862,4.45585504947e-05,0.0149447778953,1.05176080983,0.014251026703,0.0222298723111
0.014251026703,0.0119377664171,40000,0.0156584708265,5.03881901034e-05,0.0156076903546,1.09876089301,0.014251026703,0.0237759862177
0.014251026703,0.014251026703,40000,0.016688334937,5.67892804856e-05,0.0166256886953,1.17102685194,0.014251026703,0.025621700885
