replicate,method,trial,selected,information,information_ratio,target_radius,target_radius_ratio,condition,all_subset_kappa,target_radius_bound,greedy_seconds,exhaustive_seconds
0,greedy,0,"(0, 2, 8, 10)",5.81463414349,1,1.1184527059,1.16699970939,55.9210586358,85.2192507604,8.60580151498,0.00019680000014,
0,logdet_optimum,0,"(0, 2, 8, 10)",5.81463414349,1,1.1184527059,1.16699970939,55.9210586358,85.2192507604,8.60580151498,,0.0162333999999
0,target_optimum,0,"(2, 4, 8, 9)",5.03723495873,0.866302992489,0.958400158033,1,27.3703212037,85.2192507604,9.7962837187,,
0,random,0,"(2, 3, 8, 11)",3.88729678292,0.66853677927,1.18216702956,1.23347958538,35.0839238205,85.2192507604,11.8657899283,,
0,random,1,"(4, 5, 7, 10)",3.40892568005,0.586266581169,1.97567188157,2.06142691548,26.3318673152,85.2192507604,12.8505675947,,
0,random,2,"(0, 1, 8, 9)",5.27139277808,0.90657342285,1.7400958184,1.81562555454,52.7292719281,85.2192507604,9.42133499871,,
0,random,3,"(0, 2, 5, 9)",4.90036668811,0.842764405668,1.06484006469,1.11105998446,33.3735055348,85.2192507604,10.0223187375,,
0,random,4,"(1, 9, 10, 11)",4.05444755053,0.697283345862,1.89918613878,1.98162127047,20.9151525952,85.2192507604,11.5397893008,,
0,random,5,"(0, 7, 9, 10)",4.85691324803,0.835291288871,1.03414636204,1.07903400617,34.2511111992,85.2192507604,10.0951662465,,
0,random,6,"(0, 4, 9, 10)",5.01122742442,0.861830220226,1.14216414514,1.1917403556,44.2923078031,85.2192507604,9.83883874551,,
0,random,7,"(3, 4, 6, 9)",3.36451127014,0.578628196911,1.61751722406,1.68772637453,13.4901565119,85.2192507604,12.9460456048,,
0,random,8,"(6, 7, 8, 10)",4.05577060899,0.697510885277,1.89261061924,1.97476033719,43.1007103856,85.2192507604,11.5372449453,,
0,random,9,"(1, 5, 7, 8)",4.00122267066,0.688129738161,1.71168647778,1.78598309217,26.9387706082,85.2192507604,11.6426120035,,
0,random,10,"(3, 4, 8, 10)",4.20462190639,0.723110311437,2.25049702276,2.34818098045,49.2500128681,85.2192507604,11.2545438337,,
0,random,11,"(0, 3, 4, 10)",4.26911970612,0.734202634382,2.40695755805,2.51143276415,53.0347692807,85.2192507604,11.1342095482,,
0,random,12,"(0, 4, 7, 11)",3.65866718874,0.629217092333,1.94973963992,2.03436907181,42.8463299486,85.2192507604,12.326659999,,
0,random,13,"(2, 4, 7, 9)",4.10501754525,0.70598036677,1.22525381074,1.27843657002,26.6713358751,85.2192507604,11.4429368458,,
0,random,14,"(1, 2, 3, 4)",4.26148313052,0.732889297136,1.54272442075,1.60968715189,25.5208805817,85.2192507604,11.1483897758,,
0,random,15,"(6, 7, 9, 11)",3.03330812375,0.521667924222,1.38240537109,1.44240937306,12.2746805911,85.2192507604,13.6807660333,,
0,random,16,"(1, 6, 9, 10)",4.30118909543,0.739717923654,1.90627795602,1.98902091161,21.6593020238,85.2192507604,11.0748570891,,
0,random,17,"(4, 5, 7, 11)",2.73396529394,0.470186984507,1.93831795846,2.02245162651,13.7281476532,85.2192507604,14.3806187351,,
0,random,18,"(2, 5, 6, 7)",3.30026123599,0.567578484657,1.20237117765,1.2545607047,23.5856901743,85.2192507604,13.0854211587,,
0,random,19,"(4, 5, 6, 7)",2.87413059088,0.494292593473,1.97697487527,2.06278646628,13.659435066,85.2192507604,14.0485683813,,
0,random,20,"(4, 6, 7, 10)",3.36851677176,0.579317062542,1.99406270451,2.08061600136,31.0898070997,85.2192507604,12.9374059212,,
0,random,21,"(6, 7, 9, 11)",3.03330812375,0.521667924222,1.38240537109,1.44240937306,12.2746805911,85.2192507604,13.6807660333,,
0,random,22,"(5, 7, 8, 9)",4.06599948949,0.699270046774,1.26605683463,1.32101066973,26.2598978948,85.2192507604,11.5175928517,,
0,random,23,"(0, 1, 5, 7)",3.92529002898,0.67507085263,1.81248646428,1.89115835289,39.743849399,85.2192507604,11.7908906713,,
0,random,24,"(0, 1, 7, 9)",4.86528617626,0.836731263945,1.32754658784,1.38516941667,30.9628118612,85.2192507604,10.0810883878,,
0,random,25,"(4, 8, 10, 11)",4.04654808522,0.695924796876,2.20908002464,2.30496625666,46.0381405549,85.2192507604,11.5549923341,,
0,random,26,"(2, 7, 8, 10)",5.1496327653,0.885633152184,1.07691557395,1.12365963729,31.5569688972,85.2192507604,9.61447844442,,
0,random,27,"(1, 3, 6, 11)",2.22417380266,0.382513112223,2.17644509284,2.27091478919,21.1594250117,85.2192507604,15.6558809725,,
0,random,28,"(0, 1, 2, 10)",5.59109468453,0.961555713834,1.12361747389,1.17238865674,47.5855478943,85.2192507604,8.93247173909,,
0,random,29,"(1, 3, 8, 9)",4.6806254352,0.80497333447,1.78269874727,1.86007768502,22.0629142027,85.2192507604,10.3961757478,,
0,random,30,"(0, 3, 6, 8)",3.55072207352,0.610652705896,2.20531945174,2.3010424542,64.2337636509,85.2192507604,12.5504340284,,
0,random,31,"(2, 7, 9, 11)",3.61406256235,0.621545994668,1.25014902872,1.30441237748,30.0554005323,85.2192507604,12.418639144,,
0,random,32,"(0, 6, 8, 10)",4.59050781148,0.78947491763,2.26908258856,2.36757326211,61.6010949777,85.2192507604,10.553500712,,
0,random,33,"(3, 5, 8, 10)",4.09290323327,0.70389694902,2.28154837282,2.38058013002,34.9822880036,85.2192507604,11.4660640699,,
0,random,34,"(2, 4, 10, 11)",4.08276198746,0.702152858927,1.45841161771,1.52171470913,30.6547781052,85.2192507604,11.4854604863,,
0,random,35,"(1, 4, 9, 10)",4.554596435,0.783298883921,1.67013299037,1.74262595469,30.7674969502,85.2192507604,10.6168552414,,
0,random,36,"(2, 5, 9, 11)",3.69132300683,0.634833235547,1.19856847671,1.25059294562,29.179219126,85.2192507604,12.2597527124,,
0,random,37,"(6, 7, 9, 11)",3.03330812375,0.521667924222,1.38240537109,1.44240937306,12.2746805911,85.2192507604,13.6807660333,,
0,random,38,"(5, 6, 8, 9)",4.09721579647,0.704638623061,1.49915838166,1.56423010691,25.8525183171,85.2192507604,11.4578256767,,
0,random,39,"(0, 3, 6, 10)",3.95801243751,0.68069844806,2.37352831071,2.47655250348,50.331252071,85.2192507604,11.7267613123,,
0,random,40,"(3, 5, 8, 9)",4.12999319786,0.710275676155,1.5279383249,1.5942592581,27.423919495,85.2192507604,11.3954033768,,
0,random,41,"(2, 6, 7, 11)",2.95621737488,0.508409867574,1.20954700353,1.26204800092,26.6456006083,85.2192507604,13.857676865,,
0,random,42,"(5, 6, 7, 8)",3.28027918279,0.564141973828,1.81746921423,1.89635738162,27.0697187722,85.2192507604,13.129072736,,
0,random,43,"(0, 5, 9, 10)",4.70200824757,0.808650747672,1.15548685505,1.20564134444,43.9471069122,85.2192507604,10.3591917762,,
0,random,44,"(2, 5, 8, 10)",5.20971784247,0.895966575697,1.12590605245,1.17477657221,30.0864888196,85.2192507604,9.51867781416,,
0,random,45,"(4, 5, 7, 8)",3.68900021948,0.63443376289,1.83395438872,1.91355810342,28.523500109,85.2192507604,12.2644997643,,
0,random,46,"(5, 7, 8, 10)",4.09995413782,0.70510956264,1.83046932377,1.90992176747,28.809325077,85.2192507604,11.4525976301,,
0,random,47,"(0, 1, 6, 8)",4.22682043994,0.726928012259,2.09899721175,2.19010524378,61.7019755168,85.2192507604,11.2129817045,,
0,random,48,"(3, 4, 6, 8)",3.53127841184,0.60730878757,2.17363039005,2.26797791281,40.6184721449,85.2192507604,12.5911710647,,
0,random,49,"(4, 6, 7, 8)",3.67772329462,0.632494358866,1.89028988144,1.9723388666,41.5462790962,85.2192507604,12.2875724136,,
0,random,50,"(1, 2, 4, 7)",4.35366704368,0.748743074156,1.36813387237,1.42751841275,31.8433047047,85.2192507604,10.9784151639,,
0,random,51,"(7, 8, 10, 11)",3.95588090169,0.680331866815,1.8695193696,1.95066680022,41.5129577201,85.2192507604,11.7309280544,,
0,random,52,"(6, 7, 8, 11)",2.95482207359,0.508169903845,1.86005189785,1.94078838809,42.2842202558,85.2192507604,13.8608998455,,
0,random,53,"(2, 5, 6, 8)",4.3415456439,0.746658437446,1.11109038006,1.15931781808,25.2965866472,85.2192507604,11.0006165422,,
0,random,54,"(3, 4, 6, 9)",3.36451127014,0.578628196911,1.61751722406,1.68772637453,13.4901565119,85.2192507604,12.9460456048,,
0,random,55,"(0, 5, 8, 9)",4.66379403087,0.802078671809,1.51178612272,1.57740596143,55.0081720033,85.2192507604,10.4253803979,,
0,random,56,"(0, 1, 2, 9)",5.4301645396,0.933878969097,1.08590938329,1.13304382745,32.2733634658,85.2192507604,9.17529767818,,
0,random,57,"(0, 4, 6, 7)",3.8283264104,0.658395062514,1.99452194469,2.0810951751,43.6105985538,85.2192507604,11.9829865879,,
0,random,58,"(0, 8, 10, 11)",4.48905873484,0.772027719038,2.2951038606,2.39472400058,62.7372884354,85.2192507604,10.733458286,,
0,random,59,"(2, 3, 6, 11)",2.67552722413,0.4601368131,1.48530040022,1.5497706128,29.7899550544,85.2192507604,14.5213656376,,
0,random,60,"(0, 4, 6, 11)",3.59796780319,0.618778020148,2.30992343269,2.41018682367,41.7780975005,85.2192507604,12.4519963647,,
0,random,61,"(0, 3, 10, 11)",3.86174501906,0.664142390348,2.30510644671,2.40516075399,46.832834921,85.2192507604,11.9164296567,,
0,random,62,"(1, 6, 8, 9)",4.4522607054,0.765699198871,1.83629273792,1.91599794984,25.2270070769,85.2192507604,10.7994889144,,
0,random,63,"(1, 8, 9, 10)",5.3131830175,0.913760502618,1.7233314174,1.79813348627,36.6888829004,85.2192507604,9.35594301775,,
0,random,64,"(0, 7, 9, 10)",4.85691324803,0.835291288871,1.03414636204,1.07903400617,34.2511111992,85.2192507604,10.0951662465,,
0,random,65,"(3, 5, 9, 11)",3.05338115631,0.52512008167,1.49610790589,1.5610472237,12.2923787133,85.2192507604,13.6350734313,,
0,random,66,"(1, 2, 10, 11)",4.19760595145,0.721903708448,1.53279427233,1.59932598036,35.7530174163,85.2192507604,11.2677117597,,
0,random,67,"(2, 5, 7, 8)",4.29630411862,0.738877805998,1.07484507447,1.12149926674,27.2323108598,85.2192507604,11.0838774973,,
0,random,68,"(0, 1, 3, 5)",3.92553890798,0.675113654807,2.08546686941,2.17598761011,38.2888856135,85.2192507604,11.7904015973,,
0,random,69,"(2, 3, 8, 11)",3.88729678292,0.66853677927,1.18216702956,1.23347958538,35.0839238205,85.2192507604,11.8657899283,,
0,random,70,"(0, 4, 6, 10)",4.2822423715,0.736459468614,2.41006343107,2.51467344916,50.4836642913,85.2192507604,11.1098844077,,
0,random,71,"(0, 5, 7, 9)",4.07920811566,0.701541664531,1.28052987584,1.33611192059,31.4782844822,85.2192507604,11.4922654772,,
0,random,72,"(0, 3, 4, 7)",3.76577690943,0.647637807728,2.00272533775,2.08965464057,44.9143571342,85.2192507604,12.1085616439,,
0,random,73,"(2, 3, 8, 11)",3.88729678292,0.66853677927,1.18216702956,1.23347958538,35.0839238205,85.2192507604,11.8657899283,,
0,random,74,"(0, 1, 5, 11)",3.62550418837,0.623513723977,2.08435844946,2.17483107864,38.1101922258,85.2192507604,12.3949801385,,
0,random,75,"(0, 1, 8, 9)",5.27139277808,0.90657342285,1.7400958184,1.81562555454,52.7292719281,85.2192507604,9.42133499871,,
0,random,76,"(2, 6, 8, 10)",4.9138653089,0.845085896661,1.19359407993,1.24540263263,37.8408686009,85.2192507604,9.99979616899,,
0,random,77,"(0, 5, 10, 11)",3.85266417982,0.662580668834,2.33134238483,2.43253547622,43.5189198995,85.2192507604,11.9344785085,,
0,random,78,"(4, 8, 9, 10)",4.93539600955,0.84878874367,1.24557948437,1.29964448976,44.7306667077,85.2192507604,9.96397670596,,
0,random,79,"(3, 6, 7, 8)",3.01506818783,0.51853102249,1.8917470633,1.97385929817,42.207705325,85.2192507604,13.7224186957,,
0,random,80,"(0, 2, 9, 11)",4.70225967591,0.808693988285,1.08087904515,1.12779514495,32.2833365495,85.2192507604,10.3587576862,,
0,random,81,"(5, 7, 10, 11)",3.07013657352,0.528001676074,1.9513463918,2.03604556556,20.7316610053,85.2192507604,13.5970496574,,
0,random,82,"(0, 5, 8, 9)",4.66379403087,0.802078671809,1.51178612272,1.57740596143,55.0081720033,85.2192507604,10.4253803979,,
0,random,83,"(0, 1, 4, 9)",5.06077497745,0.870351401751,1.27300714745,1.32826266438,37.4117521953,85.2192507604,9.75792489816,,
0,random,84,"(0, 3, 4, 7)",3.76577690943,0.647637807728,2.00272533775,2.08965464057,44.9143571342,85.2192507604,12.1085616439,,
0,random,85,"(3, 8, 9, 10)",4.84141591118,0.832626058959,1.53203481112,1.59853355436,24.4462319175,85.2192507604,10.1212746482,,
0,random,86,"(1, 4, 5, 11)",3.28323698221,0.564650655774,2.06850748517,2.15829209525,14.1604341018,85.2192507604,13.1226021371,,
0,random,87,"(5, 9, 10, 11)",3.77437638622,0.649116744593,1.37226779667,1.43183177211,20.5625419056,85.2192507604,12.0912195255,,
0,random,88,"(1, 7, 9, 11)",3.59083672534,0.617551618336,1.35766081934,1.41659077156,13.9872934526,85.2192507604,12.4668045221,,
0,random,89,"(2, 3, 5, 9)",3.96891539466,0.682573537168,1.19309539909,1.2448823063,27.5522396474,85.2192507604,11.7054712659,,
0,random,90,"(1, 2, 6, 7)",3.74297105553,0.643715660033,1.18832106298,1.23990073773,30.8970478763,85.2192507604,12.1546735715,,
0,random,91,"(0, 4, 6, 10)",4.2822423715,0.736459468614,2.41006343107,2.51467344916,50.4836642913,85.2192507604,11.1098844077,,
0,random,92,"(3, 6, 7, 8)",3.01506818783,0.51853102249,1.8917470633,1.97385929817,42.207705325,85.2192507604,13.7224186957,,
0,random,93,"(0, 3, 4, 6)",3.67476489519,0.631985573728,2.37822718801,2.48145533792,43.0500093538,85.2192507604,12.2936324987,,
0,random,94,"(2, 3, 9, 11)",3.50597619377,0.602957315499,1.55815759719,1.62579021313,29.2771805924,85.2192507604,12.6443806051,,
0,random,95,"(0, 1, 4, 6)",4.36584035278,0.750836638222,2.15741041022,2.25105389658,33.4839492786,85.2192507604,10.9561638041,,
0,random,96,"(3, 4, 7, 10)",3.25888900976,0.560463294739,2.0017336119,2.08861986836,32.1389250937,85.2192507604,13.1759617896,,
0,random,97,"(1, 6, 7, 8)",3.70529133907,0.637235507452,1.73337421532,1.80861219689,39.5747778478,85.2192507604,12.2312445264,,
0,random,98,"(3, 5, 6, 7)",2.20672384712,0.37951207121,1.9895736068,2.07593205211,9.35109761818,85.2192507604,15.7014796528,,
0,random,99,"(0, 6, 7, 9)",4.2666043809,0.733770049089,1.35131378338,1.40996823932,29.0016293619,85.2192507604,11.1388782197,,
0,random,100,"(2, 8, 10, 11)",4.73414520915,0.814177658014,1.17951427961,1.23071169148,40.9391831616,85.2192507604,10.3038546145,,
0,random,101,"(4, 5, 6, 8)",3.68670714474,0.634039400203,2.22358234343,2.3200980559,33.8894839231,85.2192507604,12.2691878959,,
0,random,102,"(1, 2, 3, 8)",4.64472856653,0.79879979581,1.19542504687,1.24731307361,36.9167532843,85.2192507604,10.4585605392,,
0,random,103,"(2, 5, 6, 8)",4.3415456439,0.746658437446,1.11109038006,1.15931781808,25.2965866472,85.2192507604,11.0006165422,,
0,random,104,"(2, 4, 5, 8)",4.82384306704,0.829603883582,1.07877176597,1.12559639826,29.4958222847,85.2192507604,10.1509613639,,
0,random,105,"(5, 6, 8, 9)",4.09721579647,0.704638623061,1.49915838166,1.56423010691,25.8525183171,85.2192507604,11.4578256767,,
0,random,106,"(1, 3, 8, 11)",3.40798790202,0.586105302229,2.05933473186,2.14872119396,39.6189619915,85.2192507604,12.8525762483,,
0,random,107,"(1, 2, 4, 9)",4.55522810209,0.783407517941,1.48260669497,1.54695998591,28.5703224891,85.2192507604,10.6157375806,,
0,random,108,"(3, 5, 7, 10)",3.18940766432,0.548513902271,1.98788837091,2.0741736677,20.029281518,85.2192507604,13.3294292606,,
