method,n,reference_mae,included_count,reference_inclusion,mean_width,n_released_015,released_mae_015,released_inclusion_015,released_width_015
fixed,57,0.0800430408347,56,0.982456140351,0.404131846169,10,0.0593070649516,1,0.256688387475
random,57,0.0800877143345,56,0.982456140351,0.414885557747,6,0.0488608078012,1,0.23742834657
