k,replicate,test_scale,method,radius,joint_covered,marginal_fraction
4,18,1,gaussian_union,2.57582930355,True,1
4,18,2,joint_max,2.43141752574,True,1
4,18,2,marginal_only_invalid,2.17030892941,True,1
4,18,2,gaussian_union,2.57582930355,True,1
4,19,1,joint_max,2.58460287104,True,1
4,19,1,marginal_only_invalid,2.11822003033,True,1
4,19,1,gaussian_union,2.57582930355,True,1
4,19,2,joint_max,2.58460287104,False,0.8
4,19,2,marginal_only_invalid,2.11822003033,False,0.8
4,19,2,gaussian_union,2.57582930355,False,0.8
4,20,1,joint_max,2.60041767669,True,1
4,20,1,marginal_only_invalid,1.80799221967,True,1
4,20,1,gaussian_union,2.57582930355,True,1
4,20,2,joint_max,2.60041767669,False,0.8
4,20,2,marginal_only_invalid,1.80799221967,False,0.2
4,20,2,gaussian_union,2.57582930355,False,0.6
4,21,1,joint_max,2.73710416751,True,1
4,21,1,marginal_only_invalid,2.03639584499,False,0.8
4,21,1,gaussian_union,2.57582930355,True,1
4,21,2,joint_max,2.73710416751,False,0.8
4,21,2,marginal_only_invalid,2.03639584499,False,0.8
4,21,2,gaussian_union,2.57582930355,False,0.8
4,22,1,joint_max,2.66896743432,True,1
4,22,1,marginal_only_invalid,1.91931584938,False,0.8
4,22,1,gaussian_union,2.57582930355,True,1
4,22,2,joint_max,2.66896743432,False,0.8
4,22,2,marginal_only_invalid,1.91931584938,False,0.4
4,22,2,gaussian_union,2.57582930355,False,0.6
4,23,1,joint_max,2.49188849553,True,1
4,23,1,marginal_only_invalid,2.03019462208,True,1
4,23,1,gaussian_union,2.57582930355,True,1
4,23,2,joint_max,2.49188849553,False,0.8
4,23,2,marginal_only_invalid,2.03019462208,False,0.8
4,23,2,gaussian_union,2.57582930355,False,0.8
4,24,1,joint_max,2.54762073734,True,1
4,24,1,marginal_only_invalid,2.00757852785,True,1
4,24,1,gaussian_union,2.57582930355,True,1
4,24,2,joint_max,2.54762073734,False,0.8
4,24,2,marginal_only_invalid,2.00757852785,False,0.8
4,24,2,gaussian_union,2.57582930355,False,0.8
4,25,1,joint_max,2.63334064323,True,1
4,25,1,marginal_only_invalid,1.97787475176,True,1
4,25,1,gaussian_union,2.57582930355,True,1
4,25,2,joint_max,2.63334064323,True,1
4,25,2,marginal_only_invalid,1.97787475176,False,0.8
4,25,2,gaussian_union,2.57582930355,False,0.8
4,26,1,joint_max,2.70178451661,True,1
4,26,1,marginal_only_invalid,1.80774981629,True,1
4,26,1,gaussian_union,2.57582930355,True,1
4,26,2,joint_max,2.70178451661,True,1
4,26,2,marginal_only_invalid,1.80774981629,True,1
4,26,2,gaussian_union,2.57582930355,True,1
4,27,1,joint_max,2.59064512674,True,1
4,27,1,marginal_only_invalid,1.72734136411,False,0.8
4,27,1,gaussian_union,2.57582930355,True,1
4,27,2,joint_max,2.59064512674,False,0.8
4,27,2,marginal_only_invalid,1.72734136411,False,0.6
4,27,2,gaussian_union,2.57582930355,False,0.8
4,28,1,joint_max,2.47113480036,True,1
4,28,1,marginal_only_invalid,2.04634760692,True,1
4,28,1,gaussian_union,2.57582930355,True,1
4,28,2,joint_max,2.47113480036,False,0.8
4,28,2,marginal_only_invalid,2.04634760692,False,0.8
4,28,2,gaussian_union,2.57582930355,False,0.8
4,29,1,joint_max,2.71255349105,True,1
4,29,1,marginal_only_invalid,1.97992416511,True,1
4,29,1,gaussian_union,2.57582930355,True,1
4,29,2,joint_max,2.71255349105,True,1
4,29,2,marginal_only_invalid,1.97992416511,False,0.8
4,29,2,gaussian_union,2.57582930355,True,1
4,30,1,joint_max,2.40256773439,True,1
4,30,1,marginal_only_invalid,1.92681972002,False,0.8
4,30,1,gaussian_union,2.57582930355,True,1
4,30,2,joint_max,2.40256773439,False,0.8
4,30,2,marginal_only_invalid,1.92681972002,False,0.4
4,30,2,gaussian_union,2.57582930355,False,0.8
4,31,1,joint_max,2.66622545827,True,1
4,31,1,marginal_only_invalid,2.04216639586,True,1
4,31,1,gaussian_union,2.57582930355,True,1
4,31,2,joint_max,2.66622545827,False,0.8
4,31,2,marginal_only_invalid,2.04216639586,False,0.6
4,31,2,gaussian_union,2.57582930355,False,0.8
4,32,1,joint_max,2.46578312516,True,1
4,32,1,marginal_only_invalid,1.99813782141,True,1
4,32,1,gaussian_union,2.57582930355,True,1
4,32,2,joint_max,2.46578312516,True,1
4,32,2,marginal_only_invalid,1.99813782141,False,0.8
4,32,2,gaussian_union,2.57582930355,True,1
4,33,1,joint_max,2.5346710868,True,1
4,33,1,marginal_only_invalid,1.77949283293,True,1
4,33,1,gaussian_union,2.57582930355,True,1
4,33,2,joint_max,2.5346710868,False,0.8
4,33,2,marginal_only_invalid,1.77949283293,False,0.6
4,33,2,gaussian_union,2.57582930355,False,0.8
4,34,1,joint_max,2.66819960306,True,1
4,34,1,marginal_only_invalid,2.07762666025,True,1
4,34,1,gaussian_union,2.57582930355,True,1
4,34,2,joint_max,2.66819960306,True,1
4,34,2,marginal_only_invalid,2.07762666025,False,0.8
4,34,2,gaussian_union,2.57582930355,False,0.8
4,35,1,joint_max,2.69418206693,True,1
4,35,1,marginal_only_invalid,2.29024563611,True,1
4,35,1,gaussian_union,2.57582930355,True,1
4,35,2,joint_max,2.69418206693,True,1
4,35,2,marginal_only_invalid,2.29024563611,False,0.8
4,35,2,gaussian_union,2.57582930355,True,1
4,36,1,joint_max,2.89283788396,True,1
4,36,1,marginal_only_invalid,2.04185058024,True,1
4,36,1,gaussian_union,2.57582930355,True,1
4,36,2,joint_max,2.89283788396,False,0.8
4,36,2,marginal_only_invalid,2.04185058024,False,0.6
4,36,2,gaussian_union,2.57582930355,False,0.6
4,37,1,joint_max,2.72433967778,True,1
4,37,1,marginal_only_invalid,2.13102303974,True,1
4,37,1,gaussian_union,2.57582930355,True,1
4,37,2,joint_max,2.72433967778,True,1
4,37,2,marginal_only_invalid,2.13102303974,True,1
4,37,2,gaussian_union,2.57582930355,True,1
4,38,1,joint_max,2.6806879288,True,1
4,38,1,marginal_only_invalid,2.08553612464,False,0.8
4,38,1,gaussian_union,2.57582930355,True,1
4,38,2,joint_max,2.6806879288,False,0.8
4,38,2,marginal_only_invalid,2.08553612464,False,0.8
4,38,2,gaussian_union,2.57582930355,False,0.8
4,39,1,joint_max,2.77274421351,True,1
4,39,1,marginal_only_invalid,2.03587900292,True,1
4,39,1,gaussian_union,2.57582930355,True,1
4,39,2,joint_max,2.77274421351,True,1
4,39,2,marginal_only_invalid,2.03587900292,False,0.8
4,39,2,gaussian_union,2.57582930355,True,1
4,40,1,joint_max,2.63275931834,True,1
4,40,1,marginal_only_invalid,1.87245523527,False,0.8
4,40,1,gaussian_union,2.57582930355,True,1
4,40,2,joint_max,2.63275931834,False,0.6
4,40,2,marginal_only_invalid,1.87245523527,False,0.4
4,40,2,gaussian_union,2.57582930355,False,0.6
4,41,1,joint_max,2.43281237422,True,1
4,41,1,marginal_only_invalid,1.7985391806,True,1
4,41,1,gaussian_union,2.57582930355,True,1
4,41,2,joint_max,2.43281237422,True,1
4,41,2,marginal_only_invalid,1.7985391806,False,0.8
4,41,2,gaussian_union,2.57582930355,True,1
4,42,1,joint_max,2.53028512569,True,1
4,42,1,marginal_only_invalid,2.20423654838,True,1
4,42,1,gaussian_union,2.57582930355,True,1
4,42,2,joint_max,2.53028512569,True,1
4,42,2,marginal_only_invalid,2.20423654838,True,1
4,42,2,gaussian_union,2.57582930355,True,1
4,43,1,joint_max,2.62112877153,False,0.8
4,43,1,marginal_only_invalid,2.00511122389,False,0.8
4,43,1,gaussian_union,2.57582930355,False,0.8
4,43,2,joint_max,2.62112877153,False,0.6
4,43,2,marginal_only_invalid,2.00511122389,False,0.6
4,43,2,gaussian_union,2.57582930355,False,0.6
4,44,1,joint_max,2.74244647529,True,1
4,44,1,marginal_only_invalid,1.99879501554,True,1
4,44,1,gaussian_union,2.57582930355,True,1
4,44,2,joint_max,2.74244647529,True,1
4,44,2,marginal_only_invalid,1.99879501554,False,0.8
4,44,2,gaussian_union,2.57582930355,True,1
4,45,1,joint_max,2.6719762026,True,1
4,45,1,marginal_only_invalid,1.73132062092,False,0.8
4,45,1,gaussian_union,2.57582930355,True,1
4,45,2,joint_max,2.6719762026,False,0.8
4,45,2,marginal_only_invalid,1.73132062092,False,0.4
4,45,2,gaussian_union,2.57582930355,False,0.6
4,46,1,joint_max,2.59543777785,True,1
4,46,1,marginal_only_invalid,1.70391726529,True,1
