scenario,method,tolerance,n,n_released,release_rate,released_mae,released_coverage,unconditional_bad_release,bad_release_mc_lower,bad_release_mc_upper,conditional_bad_release,bound_if_valid
extrapolation,adaptive_Rinf,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_Rinf,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_Rinf,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_Rinf,2,200,1,0.005,1.16290146196,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,adaptive_Rinf,3,200,200,1,1.13573642626,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,design_R2,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,2,200,146,0.73,0.960415613889,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,design_R2,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,no_curvature,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,2,200,96,0.48,0.966809646227,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,no_curvature,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,robust_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,2,200,96,0.48,0.966809646227,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,robust_Rinf,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,singleton_U,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,2,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,singleton_U,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_R2_invalid,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_R2_invalid,1,200,27,0.135,0.209010758925,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,1.5,200,91,0.455,0.2798103758,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,2,200,150,0.75,0.392905832512,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,3,200,200,1,0.516578938433,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_Rinf,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_Rinf,1,200,12,0.06,0.213049097055,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,1.5,200,76,0.38,0.290836064891,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,2,200,137,0.685,0.367268289014,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,3,200,197,0.985,0.509065565369,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,design_R2,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,design_R2,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,design_R2,1,200,140,0.7,0.125277088325,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,design_R2,1.5,200,182,0.91,0.154692449443,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,design_R2,2,200,199,0.995,0.172156297291,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,design_R2,3,200,200,1,0.17455547293,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,no_curvature,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,no_curvature,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,no_curvature,1,200,116,0.58,0.126883955548,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,no_curvature,1.5,200,178,0.89,0.150935255325,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,no_curvature,2,200,199,0.995,0.173545967183,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,no_curvature,3,200,200,1,0.175938194473,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,robust_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,robust_Rinf,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,robust_Rinf,1,200,105,0.525,0.120263570889,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,robust_Rinf,1.5,200,178,0.89,0.149381635613,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,robust_Rinf,2,200,199,0.995,0.172156297291,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,robust_Rinf,3,200,200,1,0.17455547293,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,singleton_U,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,singleton_U,0.6,200,91,0.455,0.119930050774,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,singleton_U,1,200,165,0.825,0.141349815768,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,singleton_U,1.5,200,199,0.995,0.172072370727,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,singleton_U,2,200,199,0.995,0.172072370727,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,singleton_U,3,200,200,1,0.174471965999,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_R2_invalid,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
nominal,adaptive_R2_invalid,0.6,200,14,0.07,0.0879389609051,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_R2_invalid,1,200,79,0.395,0.15098006348,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_R2_invalid,1.5,200,119,0.595,0.225678461237,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_R2_invalid,2,200,174,0.87,0.365291713442,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_R2_invalid,3,200,200,1,0.423253388673,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
nominal,adaptive_Rinf,0.6,200,7,0.035,0.0819802521487,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_Rinf,1,200,69,0.345,0.139591744579,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_Rinf,1.5,200,117,0.585,0.221612432024,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_Rinf,2,200,174,0.87,0.365291713442,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,adaptive_Rinf,3,200,200,1,0.423253388673,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,design_R2,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
nominal,design_R2,0.6,200,121,0.605,0.0663321277328,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,design_R2,1,200,174,0.87,0.0778437255708,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,design_R2,1.5,200,198,0.99,0.107398966505,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,design_R2,2,200,199,0.995,0.108810038667,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,design_R2,3,200,200,1,0.111510877968,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,no_curvature,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
nominal,no_curvature,0.6,200,112,0.56,0.0782900019302,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,no_curvature,1,200,170,0.85,0.0820918248806,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,no_curvature,1.5,200,198,0.99,0.112549992656,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,no_curvature,2,200,199,0.995,0.113935180264,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,no_curvature,3,200,200,1,0.116610393857,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,robust_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
nominal,robust_Rinf,0.6,200,86,0.43,0.0656920538838,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,robust_Rinf,1,200,170,0.85,0.0760923944227,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,robust_Rinf,1.5,200,198,0.99,0.107398966505,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,robust_Rinf,2,200,199,0.995,0.108810038667,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,robust_Rinf,3,200,200,1,0.111510877968,1,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,singleton_U,0.3,200,130,0.65,0.0643852959972,0.976923076923,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,singleton_U,0.6,200,169,0.845,0.0738152953057,0.98224852071,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,singleton_U,1,200,193,0.965,0.101303171749,0.984455958549,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,singleton_U,1.5,200,199,0.995,0.108401626206,0.984924623116,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,singleton_U,2,200,200,1,0.11110450757,0.985,0,1.73472347598e-18,0.0188453263773,0,0.1
nominal,singleton_U,3,200,200,1,0.11110450757,0.985,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_R2_invalid,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
proxy_shift,adaptive_R2_invalid,0.6,200,12,0.06,0.13463420377,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_R2_invalid,1,200,78,0.39,0.176301874089,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_R2_invalid,1.5,200,127,0.635,0.265257521652,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_R2_invalid,2,200,170,0.85,0.360920769283,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_R2_invalid,3,200,200,1,0.423253388673,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
proxy_shift,adaptive_Rinf,0.6,200,7,0.035,0.14804682165,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_Rinf,1,200,72,0.36,0.17568090773,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_Rinf,1.5,200,125,0.625,0.259417802475,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_Rinf,2,200,166,0.83,0.354549929139,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,adaptive_Rinf,3,200,200,1,0.423253388673,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,design_R2,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
proxy_shift,design_R2,0.6,200,113,0.565,0.117737557978,0.991150442478,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,design_R2,1,200,177,0.885,0.133207197603,0.994350282486,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,design_R2,1.5,200,194,0.97,0.148614317246,0.994845360825,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,design_R2,2,200,199,0.995,0.152082429102,0.994974874372,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,design_R2,3,200,200,1,0.154989688194,0.995,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,no_curvature,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
proxy_shift,no_curvature,0.6,200,109,0.545,0.123308047274,0.990825688073,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,no_curvature,1,200,172,0.86,0.132063146815,0.994186046512,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,no_curvature,1.5,200,194,0.97,0.148554236418,0.994845360825,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,no_curvature,2,200,199,0.995,0.152023857842,0.994974874372,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,no_curvature,3,200,200,1,0.154931409791,0.995,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,robust_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
proxy_shift,robust_Rinf,0.6,200,85,0.425,0.121725122746,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,robust_Rinf,1,200,172,0.86,0.1321309124,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,robust_Rinf,1.5,200,194,0.97,0.148614317246,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,robust_Rinf,2,200,199,0.995,0.152082429102,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,robust_Rinf,3,200,200,1,0.154989688194,1,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,singleton_U,0.3,200,120,0.6,0.125262901699,0.8,0.05,0.0273826456008,0.0895781481388,0.0833333333333,0.1
proxy_shift,singleton_U,0.6,200,169,0.845,0.130896401191,0.846153846154,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,singleton_U,1,200,191,0.955,0.146905063515,0.86387434555,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,singleton_U,1.5,200,198,0.99,0.152915734863,0.868686868687,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,singleton_U,2,200,200,1,0.155687094642,0.87,0,1.73472347598e-18,0.0188453263773,0,0.1
proxy_shift,singleton_U,3,200,200,1,0.155687094642,0.87,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_R2_invalid,0.3,200,110,0.55,0.283652489114,0.5,0.215,0.163718762545,0.27702307349,0.390909090909,0.1
understated_LH,adaptive_R2_invalid,0.6,200,200,1,0.423253388673,0.36,0.34,0.277915459709,0.408115044732,0.34,0.1
understated_LH,adaptive_R2_invalid,1,200,200,1,0.423253388673,0.36,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_R2_invalid,1.5,200,200,1,0.423253388673,0.36,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_R2_invalid,2,200,200,1,0.423253388673,0.36,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_R2_invalid,3,200,200,1,0.423253388673,0.36,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_Rinf,0.3,200,63,0.315,0.244815767673,0.587301587302,0.1,0.0656704486691,0.149405812433,0.31746031746,0.1
understated_LH,adaptive_Rinf,0.6,200,200,1,0.423253388673,0.415,0.34,0.277915459709,0.408115044732,0.34,0.1
understated_LH,adaptive_Rinf,1,200,200,1,0.423253388673,0.415,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_Rinf,1.5,200,200,1,0.423253388673,0.415,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_Rinf,2,200,200,1,0.423253388673,0.415,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,adaptive_Rinf,3,200,200,1,0.423253388673,0.415,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,design_R2,0.3,200,199,0.995,0.211355707903,0.582914572864,0.26,0.204138300636,0.324907456025,0.261306532663,0.1
understated_LH,design_R2,0.6,200,200,1,0.214169919887,0.58,0.065,0.0383763546492,0.108019079299,0.065,0.1
understated_LH,design_R2,1,200,200,1,0.214169919887,0.58,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,design_R2,1.5,200,200,1,0.214169919887,0.58,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,design_R2,2,200,200,1,0.214169919887,0.58,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,design_R2,3,200,200,1,0.214169919887,0.58,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,no_curvature,0.3,200,193,0.965,0.191214949123,0.658031088083,0.215,0.163718762545,0.27702307349,0.222797927461,0.1
understated_LH,no_curvature,0.6,200,200,1,0.20485839613,0.64,0.055,0.0309853417035,0.0957869987723,0.055,0.1
understated_LH,no_curvature,1,200,200,1,0.20485839613,0.64,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,no_curvature,1.5,200,200,1,0.20485839613,0.64,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,no_curvature,2,200,200,1,0.20485839613,0.64,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,no_curvature,3,200,200,1,0.20485839613,0.64,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,robust_Rinf,0.3,200,193,0.965,0.20086419654,0.652849740933,0.235,0.181574334152,0.298413688828,0.243523316062,0.1
understated_LH,robust_Rinf,0.6,200,200,1,0.214169919887,0.635,0.065,0.0383763546492,0.108019079299,0.065,0.1
understated_LH,robust_Rinf,1,200,200,1,0.214169919887,0.635,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,robust_Rinf,1.5,200,200,1,0.214169919887,0.635,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,robust_Rinf,2,200,200,1,0.214169919887,0.635,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,robust_Rinf,3,200,200,1,0.214169919887,0.635,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,singleton_U,0.3,200,199,0.995,0.211387574358,0.557788944724,0.26,0.204138300636,0.324907456025,0.261306532663,0.1
understated_LH,singleton_U,0.6,200,200,1,0.214201627009,0.555,0.065,0.0383763546492,0.108019079299,0.065,0.1
understated_LH,singleton_U,1,200,200,1,0.214201627009,0.555,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,singleton_U,1.5,200,200,1,0.214201627009,0.555,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,singleton_U,2,200,200,1,0.214201627009,0.555,0,1.73472347598e-18,0.0188453263773,0,0.1
understated_LH,singleton_U,3,200,200,1,0.214201627009,0.555,0,1.73472347598e-18,0.0188453263773,0,0.1
