surface,scenario,replicate,method,stage,candidate,planned_radius,solver_failures
linear,bridgeable,2,rinf_targeted,2,8,0.259952511778144,0
linear,bridgeable,2,rinf_targeted,3,4,0.259952509427384,0
linear,bridgeable,2,rinf_targeted,3,6,0.259952509427384,0
linear,bridgeable,2,rinf_targeted,3,7,0.259952505934834,0
linear,bridgeable,2,rinf_targeted,3,8,0.259952509427384,0
linear,bridgeable,3,r2_targeted,1,4,0.49092994638307,0
linear,bridgeable,3,r2_targeted,1,5,0.399554053828025,0
linear,bridgeable,3,r2_targeted,1,6,0.286864014099414,0
linear,bridgeable,3,r2_targeted,1,7,0.230222326718669,0
linear,bridgeable,3,r2_targeted,1,8,0.207813757799853,0
linear,bridgeable,3,r2_targeted,1,9,0.194552053944508,0
linear,bridgeable,3,r2_targeted,2,4,0.189400708555348,0
linear,bridgeable,3,r2_targeted,2,5,0.183575709959894,0
linear,bridgeable,3,r2_targeted,2,6,0.175337248291938,0
linear,bridgeable,3,r2_targeted,2,7,0.16723989327814,0
linear,bridgeable,3,r2_targeted,2,8,0.161847026957741,0
linear,bridgeable,3,r2_targeted,3,4,0.15909990194683,0
linear,bridgeable,3,r2_targeted,3,5,0.156477984800135,0
linear,bridgeable,3,r2_targeted,3,6,0.152802188603807,0
linear,bridgeable,3,r2_targeted,3,7,0.148558073670392,0
linear,bridgeable,3,rinf_targeted,1,4,0.548713798651141,0
linear,bridgeable,3,rinf_targeted,1,5,0.41119550193997,0
linear,bridgeable,3,rinf_targeted,1,6,0.32893038176955,0
linear,bridgeable,3,rinf_targeted,1,7,0.289030293471501,0
linear,bridgeable,3,rinf_targeted,1,8,0.272588539506258,0
linear,bridgeable,3,rinf_targeted,1,9,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,2,4,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,2,5,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,2,6,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,2,7,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,2,8,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,3,5,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,3,6,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,3,7,0.261505610312364,0
linear,bridgeable,3,rinf_targeted,3,8,0.261505610312364,0
linear,bridgeable,4,r2_targeted,1,4,0.499826935919404,0
linear,bridgeable,4,r2_targeted,1,5,0.37651594136287,0
linear,bridgeable,4,r2_targeted,1,6,0.307123787391953,0
linear,bridgeable,4,r2_targeted,1,7,0.246543109482455,0
linear,bridgeable,4,r2_targeted,1,8,0.215543143997817,0
linear,bridgeable,4,r2_targeted,1,9,0.198843908751118,0
linear,bridgeable,4,r2_targeted,2,4,0.193560763280833,0
linear,bridgeable,4,r2_targeted,2,5,0.186087413142062,0
linear,bridgeable,4,r2_targeted,2,6,0.179549569989706,0
linear,bridgeable,4,r2_targeted,2,7,0.172531450590674,0
linear,bridgeable,4,r2_targeted,2,8,0.165063551209526,0
linear,bridgeable,4,r2_targeted,3,4,0.162246102003289,0
linear,bridgeable,4,r2_targeted,3,5,0.158935281920373,0
linear,bridgeable,4,r2_targeted,3,6,0.156293319005127,0
linear,bridgeable,4,r2_targeted,3,7,0.152414871624496,0
linear,bridgeable,4,rinf_targeted,1,4,0.560895180531703,0
linear,bridgeable,4,rinf_targeted,1,5,0.390398627348458,0
linear,bridgeable,4,rinf_targeted,1,6,0.345187978422386,0
linear,bridgeable,4,rinf_targeted,1,7,0.301309733756516,0
linear,bridgeable,4,rinf_targeted,1,8,0.278171517825731,0
linear,bridgeable,4,rinf_targeted,1,9,0.264690331564747,0
linear,bridgeable,4,rinf_targeted,2,4,0.264690323722211,0
linear,bridgeable,4,rinf_targeted,2,5,0.264690326050983,0
linear,bridgeable,4,rinf_targeted,2,6,0.264690324035523,0
linear,bridgeable,4,rinf_targeted,2,7,0.264690322294868,0
linear,bridgeable,4,rinf_targeted,2,8,0.264690323707443,0
linear,bridgeable,4,rinf_targeted,3,4,0.264690322294868,0
linear,bridgeable,4,rinf_targeted,3,5,0.264690322294868,0
linear,bridgeable,4,rinf_targeted,3,6,0.264690322294868,0
linear,bridgeable,4,rinf_targeted,3,8,0.264690322294868,0
linear,bridgeable,5,r2_targeted,1,4,0.493148486280583,0
linear,bridgeable,5,r2_targeted,1,5,0.388360805482657,0
linear,bridgeable,5,r2_targeted,1,6,0.288280591924879,0
linear,bridgeable,5,r2_targeted,1,7,0.232504194058345,0
linear,bridgeable,5,r2_targeted,1,8,0.206928827770633,0
linear,bridgeable,5,r2_targeted,1,9,0.193309222451343,0
linear,bridgeable,5,r2_targeted,2,4,0.188805015234569,0
linear,bridgeable,5,r2_targeted,2,5,0.18196255569916,0
linear,bridgeable,5,r2_targeted,2,6,0.174904041553768,0
linear,bridgeable,5,r2_targeted,2,7,0.167257981500556,0
linear,bridgeable,5,r2_targeted,2,8,0.161253786614423,0
linear,bridgeable,5,r2_targeted,3,4,0.158919659836104,0
linear,bridgeable,5,r2_targeted,3,5,0.155733095774987,0
linear,bridgeable,5,r2_targeted,3,6,0.152279214079559,0
linear,bridgeable,5,r2_targeted,3,7,0.148476211848254,0
linear,bridgeable,5,rinf_targeted,1,4,0.542425859265166,0
linear,bridgeable,5,rinf_targeted,1,5,0.410256379496476,0
linear,bridgeable,5,rinf_targeted,1,6,0.329535170817843,0
linear,bridgeable,5,rinf_targeted,1,7,0.289024489633336,0
linear,bridgeable,5,rinf_targeted,1,8,0.268815636752195,0
linear,bridgeable,5,rinf_targeted,1,9,0.257162002705541,0
linear,bridgeable,5,rinf_targeted,2,4,0.257162000692668,0
linear,bridgeable,5,rinf_targeted,2,5,0.257161994206405,0
linear,bridgeable,5,rinf_targeted,2,6,0.257161994506111,0
linear,bridgeable,5,rinf_targeted,2,7,0.257161988132414,0
linear,bridgeable,5,rinf_targeted,2,8,0.25716199761598,0
linear,bridgeable,5,rinf_targeted,3,4,0.257161988132414,0
linear,bridgeable,5,rinf_targeted,3,5,0.257161988132414,0
linear,bridgeable,5,rinf_targeted,3,6,0.257161988132414,0
linear,bridgeable,5,rinf_targeted,3,8,0.257161985654204,0
linear,bridgeable,6,r2_targeted,1,4,0.501239440971539,0
linear,bridgeable,6,r2_targeted,1,5,0.42277403683545,0
linear,bridgeable,6,r2_targeted,1,6,0.292253712898121,0
linear,bridgeable,6,r2_targeted,1,7,0.24171655260948,0
linear,bridgeable,6,r2_targeted,1,8,0.209099098470803,0
linear,bridgeable,6,r2_targeted,1,9,0.194837219657836,0
linear,bridgeable,6,r2_targeted,2,4,0.189871981604242,0
linear,bridgeable,6,r2_targeted,2,5,0.184517196460248,0
linear,bridgeable,6,r2_targeted,2,6,0.176107013702987,0
