surface,scenario,method,tolerance,budget,n,mean_new_n,mean_actual_bridges,n_released,released_mae,released_bad_rate,mean_certificate_radius,mean_output_width,inconsistent_fraction,released,released_lower,released_upper,bad_release,bad_release_lower,bad_release_upper,path_covered,path_covered_lower,path_covered_upper,covered,covered_lower,covered_upper,joint_set_covered,joint_set_covered_lower,joint_set_covered_upper
linear,bridgeable,r2_static,0.3,0,200,0,0,0,,,0.529622260179,1.06450443808,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_static,0.3,1,200,0,0,0,,,0.529622260179,1.06450443808,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_static,0.3,2,200,0,0,0,,,0.529622260179,1.06450443808,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_static,0.3,3,200,0,0,0,,,0.529622260179,1.06450443808,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.2,0,200,0,0,0,,,0.529622260179,1.06450443808,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.2,1,200,96,1,177,0.0348885858361,0,0.195118382355,0.413576571101,0,0.885,0.833352831015,0.922136267674,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.2,2,200,107.04,1.115,200,0.0345169500657,0,0.190952064974,0.381904129947,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.2,3,200,107.04,1.115,200,0.0345169500657,0,0.190952064974,0.381904129947,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.3,0,200,0,0,0,,,0.529622260179,1.06450443808,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.3,1,200,96,1,200,0.0340360637276,0,0.195118382355,0.390236764711,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.3,2,200,96,1,200,0.0340360637276,0,0.195118382355,0.390236764711,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,r2_targeted,0.3,3,200,96,1,200,0.0340360637276,0,0.195118382355,0.390236764711,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
