surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,4,r2_nearest,0.3,3,6,96,0.203485824813776,0.0859905816465047,0.117495243167271,0.102062072615966,
linear,bridgeable,4,r2_random,0.2,1,5,96,-0.0730805600501501,0.0108883519615126,-0.0839689120116627,0.102062072615966,
linear,bridgeable,4,r2_random,0.2,2,9,96,0.470962852032961,-0.0209189769570625,0.491881828990024,0.102062072615966,
linear,bridgeable,4,r2_random,0.3,1,5,96,-0.0730805600501501,0.0108883519615126,-0.0839689120116627,0.102062072615966,
linear,bridgeable,4,r2_random,0.3,2,9,96,0.470962852032961,-0.0209189769570625,0.491881828990024,0.102062072615966,
linear,bridgeable,4,r2_targeted,0.2,1,9,96,0.470962852032961,-0.0209189769570625,0.491881828990024,0.102062072615966,
linear,bridgeable,4,r2_targeted,0.3,1,9,96,0.470962852032961,-0.0209189769570625,0.491881828990024,0.102062072615966,
linear,bridgeable,4,rinf_targeted,0.2,1,9,96,0.470962852032961,-0.0209189769570625,0.491881828990024,0.102062072615966,
linear,bridgeable,4,rinf_targeted,0.2,2,7,96,0.328221717853341,0.0301471966507614,0.29807452120258,0.102062072615966,
linear,bridgeable,4,rinf_targeted,0.2,3,4,96,-0.3379849793761,-0.101426947945321,-0.236558031430779,0.102062072615966,
linear,bridgeable,4,rinf_targeted,0.3,1,9,96,0.470962852032961,-0.0209189769570625,0.491881828990024,0.102062072615966,
linear,bridgeable,4,target_only,0.2,1,10,96,-0.119162376795737,0.0478979608513735,-0.167060337647111,0.102062072615966,1
linear,bridgeable,4,target_only,0.2,2,10,96,-0.144192006787209,-0.0479131899462193,-0.0962788168409898,0.102062072615966,2
linear,bridgeable,4,target_only,0.2,3,10,96,-0.0340575572649804,-0.0689710094633372,0.0349134521983568,0.102062072615966,3
linear,bridgeable,4,target_only,0.3,1,10,96,-0.119162376795737,0.0478979608513735,-0.167060337647111,0.102062072615966,1
linear,bridgeable,5,r2_nearest,0.2,1,5,96,0.0173337692356373,0.0296685194756173,-0.01233475023998,0.102062072615966,
linear,bridgeable,5,r2_nearest,0.2,2,6,96,0.10837813055467,-0.0265280738938851,0.134906204448555,0.102062072615966,
linear,bridgeable,5,r2_nearest,0.2,3,4,96,-0.194336317395595,0.0899281298482599,-0.284264447243854,0.102062072615966,
