surface,scenario,tolerance,scope,comparator,metric,targeted_minus_comparator,lower,upper,n_pairs
quadratic,bridgeable,0.2,cell,r2_random,new_n,-1.92,-3.84,-0.48,200
quadratic,bridgeable,0.2,cell,r2_random,bad_release,0,0,0,200
quadratic,bridgeable,0.2,cell,r2_nearest,released,0.995,0.985,1,200
quadratic,bridgeable,0.2,cell,r2_nearest,new_n,-1.92,-3.84,-0.48,200
quadratic,bridgeable,0.2,cell,r2_nearest,bad_release,0,0,0,200
quadratic,bridgeable,0.2,cell,r2_static,released,0.995,0.985,1,200
quadratic,bridgeable,0.2,cell,r2_static,new_n,286.08,284.16,287.52,200
quadratic,bridgeable,0.2,cell,r2_static,bad_release,0,0,0,200
quadratic,bridgeable,0.2,cell,target_only,released,-0.005,-0.015,0,200
quadratic,bridgeable,0.2,cell,target_only,new_n,-1.92,-3.84,-0.48,200
quadratic,bridgeable,0.2,cell,target_only,bad_release,0,0,0,200
quadratic,bridgeable,0.3,cell,rinf_targeted,released,0.96,0.934875,0.985,200
quadratic,bridgeable,0.3,cell,rinf_targeted,new_n,-184.8,-189.12,-179.52,200
quadratic,bridgeable,0.3,cell,rinf_targeted,bad_release,0,0,0,200
quadratic,bridgeable,0.3,cell,r2_random,released,0,0,0,200
quadratic,bridgeable,0.3,cell,r2_random,new_n,-57.12,-65.76,-48.48,200
quadratic,bridgeable,0.3,cell,r2_random,bad_release,0,0,0,200
quadratic,bridgeable,0.3,cell,r2_nearest,released,0,0,0,200
quadratic,bridgeable,0.3,cell,r2_nearest,new_n,-144,-150.732,-137.76,200
quadratic,bridgeable,0.3,cell,r2_nearest,bad_release,0,0,0,200
quadratic,bridgeable,0.3,cell,r2_static,released,1,1,1,200
quadratic,bridgeable,0.3,cell,r2_static,new_n,96,96,96,200
quadratic,bridgeable,0.3,cell,r2_static,bad_release,0,0,0,200
quadratic,bridgeable,0.3,cell,target_only,released,0,0,0,200
quadratic,bridgeable,0.3,cell,target_only,new_n,0,0,0,200
quadratic,bridgeable,0.3,cell,target_only,bad_release,0,0,0,200
quadratic,supported,0.2,cell,rinf_targeted,released,0,0,0,200
quadratic,supported,0.2,cell,rinf_targeted,new_n,0,0,0,200
quadratic,supported,0.2,cell,rinf_targeted,bad_release,0,0,0,200
quadratic,supported,0.2,cell,r2_random,released,0,0,0,200
quadratic,supported,0.2,cell,r2_random,new_n,0,0,0,200
quadratic,supported,0.2,cell,r2_random,bad_release,0,0,0,200
quadratic,supported,0.2,cell,r2_nearest,released,0,0,0,200
quadratic,supported,0.2,cell,r2_nearest,new_n,0,0,0,200
quadratic,supported,0.2,cell,r2_nearest,bad_release,0,0,0,200
quadratic,supported,0.2,cell,r2_static,released,0,0,0,200
quadratic,supported,0.2,cell,r2_static,new_n,0,0,0,200
quadratic,supported,0.2,cell,r2_static,bad_release,0,0,0,200
quadratic,supported,0.2,cell,target_only,released,0,0,0,200
quadratic,supported,0.2,cell,target_only,new_n,-288,-288,-288,200
quadratic,supported,0.2,cell,target_only,bad_release,-0.005,-0.015,0,200
quadratic,supported,0.3,cell,rinf_targeted,released,0,0,0,200
quadratic,supported,0.3,cell,rinf_targeted,new_n,0,0,0,200
quadratic,supported,0.3,cell,rinf_targeted,bad_release,0,0,0,200
quadratic,supported,0.3,cell,r2_random,released,0,0,0,200
quadratic,supported,0.3,cell,r2_random,new_n,0,0,0,200
quadratic,supported,0.3,cell,r2_random,bad_release,0,0,0,200
quadratic,supported,0.3,cell,r2_nearest,released,0,0,0,200
quadratic,supported,0.3,cell,r2_nearest,new_n,0,0,0,200
quadratic,supported,0.3,cell,r2_nearest,bad_release,0,0,0,200
quadratic,supported,0.3,cell,r2_static,released,0,0,0,200
quadratic,supported,0.3,cell,r2_static,new_n,0,0,0,200
quadratic,supported,0.3,cell,r2_static,bad_release,0,0,0,200
quadratic,supported,0.3,cell,target_only,released,0,0,0,200
quadratic,supported,0.3,cell,target_only,new_n,-96,-96,-96,200
quadratic,supported,0.3,cell,target_only,bad_release,0,0,0,200
quadratic,unreachable,0.2,cell,rinf_targeted,released,0,0,0,200
quadratic,unreachable,0.2,cell,rinf_targeted,new_n,0,0,0,200
quadratic,unreachable,0.2,cell,rinf_targeted,bad_release,0,0,0,200
quadratic,unreachable,0.2,cell,r2_random,released,0,0,0,200
quadratic,unreachable,0.2,cell,r2_random,new_n,0,0,0,200
quadratic,unreachable,0.2,cell,r2_random,bad_release,0,0,0,200
quadratic,unreachable,0.2,cell,r2_nearest,released,0,0,0,200
quadratic,unreachable,0.2,cell,r2_nearest,new_n,0,0,0,200
quadratic,unreachable,0.2,cell,r2_nearest,bad_release,0,0,0,200
quadratic,unreachable,0.2,cell,r2_static,released,0,0,0,200
quadratic,unreachable,0.2,cell,r2_static,new_n,288,288,288,200
quadratic,unreachable,0.2,cell,r2_static,bad_release,0,0,0,200
quadratic,unreachable,0.2,cell,target_only,released,-1,-1,-1,200
quadratic,unreachable,0.2,cell,target_only,new_n,0,0,0,200
quadratic,unreachable,0.2,cell,target_only,bad_release,0,0,0,200
quadratic,unreachable,0.3,cell,rinf_targeted,released,0,0,0,200
quadratic,unreachable,0.3,cell,rinf_targeted,new_n,0,0,0,200
