surface,scenario,method,tolerance,test,failures,n,budget,p_value,familywise_alpha,violation_detected
quadratic,unreachable,r2_static,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
quadratic,unreachable,r2_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
quadratic,unreachable,r2_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
quadratic,unreachable,rinf_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
quadratic,unreachable,rinf_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
quadratic,unreachable,target_only,0.2,path miscoverage,2,200,0.1,0.999999983617,8.54700854701e-05,False
quadratic,unreachable,target_only,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_nearest,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_nearest,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_random,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_random,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_static,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_static,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,r2_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,rinf_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,rinf_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,bridgeable,target_only,0.2,path miscoverage,1,200,0.1,0.999999999294,8.54700854701e-05,False
sinusoidal,bridgeable,target_only,0.3,path miscoverage,1,200,0.1,0.999999999294,8.54700854701e-05,False
sinusoidal,supported,r2_nearest,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,r2_nearest,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,r2_random,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,r2_random,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,r2_static,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,r2_static,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,r2_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,r2_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,rinf_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,rinf_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,supported,target_only,0.2,path miscoverage,3,200,0.1,0.999999810288,8.54700854701e-05,False
sinusoidal,supported,target_only,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_nearest,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_nearest,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_random,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_random,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_static,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_static,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,r2_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,rinf_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,rinf_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,target_only,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
sinusoidal,unreachable,target_only,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,all,,joint set miscoverage,14,200,0.05,0.129892233707,8.54700854701e-05,False
linear,supported,all,,joint set miscoverage,5,200,0.05,0.973553199991,8.54700854701e-05,False
linear,unreachable,all,,joint set miscoverage,12,200,0.05,0.300244296646,8.54700854701e-05,False
quadratic,bridgeable,all,,joint set miscoverage,12,200,0.05,0.300244296646,8.54700854701e-05,False
quadratic,supported,all,,joint set miscoverage,11,200,0.05,0.416932817919,8.54700854701e-05,False
quadratic,unreachable,all,,joint set miscoverage,9,200,0.05,0.672975536587,8.54700854701e-05,False
sinusoidal,bridgeable,all,,joint set miscoverage,12,200,0.05,0.300244296646,8.54700854701e-05,False
sinusoidal,supported,all,,joint set miscoverage,6,200,0.05,0.937657504958,8.54700854701e-05,False
sinusoidal,unreachable,all,,joint set miscoverage,11,200,0.05,0.416932817919,8.54700854701e-05,False
